iter,objective,primal_norm,dual_norm,rho,rho_next,rho_changed,gradient,loss,status
1,25.623237352381953,0.9719493791539656,1.2304078021430305,1.0,1.0,False,0.0,0.0,running
2,26.235400697828094,0.2976350029176883,0.6940371516971275,1.0,1.0,False,0.0,0.0,running
3,26.33617317711069,0.12701393137756886,0.30144065167433304,1.0,1.0,False,0.0,0.0,running
4,26.349682602112573,0.08542732179760802,0.17202369612466437,1.0,1.0,False,0.0,0.0,running
5,26.35283668491659,0.06330062529417638,0.11488613567190875,1.0,1.0,False,0.0,0.0,running
6,26.356486767639566,0.04707258471837429,0.08198719978188752,1.0,1.0,False,0.0,0.0,running
7,26.360325057884175,0.03411977212353424,0.05959241802504138,1.0,1.0,False,0.0,0.0,running
8,26.3636957363493,0.02447495776833185,0.044630538753819185,1.0,1.0,False,0.0,0.0,running
9,26.364813670372243,0.018806495934353556,0.0327186188763743,1.0,1.0,False,0.0,0.0,running
10,26.365689119270424,0.014667181707865878,0.024586858800979834,1.0,1.0,False,0.0,0.0,running
11,26.36675492921551,0.011019334536012393,0.01885112719279697,1.0,1.0,False,0.0,0.0,running
12,26.367545249909035,0.00848960596691035,0.014354501950132964,1.0,1.0,False,0.0,0.0,running
13,26.368105831435415,0.006652318466477842,0.010989558323764897,1.0,1.0,False,0.0,0.0,running
14,26.368629274149363,0.00472431785208318,0.008575325545698781,1.0,1.0,False,0.0,0.0,running
15,26.36902116896861,0.003514070959792446,0.006872378372109494,1.0,1.0,False,0.0,0.0,running
16,26.369300037737975,0.0026255946608982946,0.005552994102813649,1.0,1.0,False,0.0,0.0,running
17,26.36942572664774,0.002058619137874589,0.0043795350549184165,1.0,1.0,False,0.0,0.0,running
18,26.369518098105704,0.00163420745517533,0.003520869611868314,1.0,1.0,False,0.0,0.0,running
19,26.369589019500964,0.0013041451517099808,0.0028396784973537628,1.0,1.0,False,0.0,0.0,running
20,26.369644566300195,0.001044278395139192,0.002294015586122602,1.0,1.0,False,0.0,0.0,running
21,26.36968847361762,0.000838632699888321,0.0018554239020664857,1.0,1.0,False,0.0,0.0,running
22,26.369723339002572,0.0006753956655152933,0.0015021102034917383,1.0,1.0,False,0.0,0.0,running
23,26.369751092678516,0.0005454961638728884,0.0012170070142617532,1.0,1.0,False,0.0,0.0,running
24,26.36977321814346,0.00044187929220492226,0.0009866298850299251,1.0,1.0,False,0.0,0.0,running
25,26.36979087520225,0.0003590303453759542,0.0008002663712612015,1.0,1.0,False,0.0,0.0,running
26,26.369804978474296,0.0002926260794575432,0.0006493706698652354,1.0,1.0,False,0.0,0.0,running
27,26.369816252377845,0.0002392695312850104,0.0005271023963808439,1.0,1.0,False,0.0,0.0,running
28,26.36982527195378,0.00019628597184245616,0.0004279709822412368,1.0,1.0,False,0.0,0.0,running
29,26.36983249420617,0.00016156520369679114,0.00034755912692295993,1.0,1.0,False,0.0,0.0,running
30,26.36983828259122,0.00013343934453048005,0.000282306210053494,1.0,1.0,False,0.0,0.0,running
31,26.369842926319418,0.00011058786417784516,0.0002293376391404202,1.0,1.0,False,0.0,0.0,running
32,26.36984665563119,9.196359085226332e-05,0.00018632968931002025,1.0,1.0,False,0.0,0.0,running
33,26.369849653907842,7.67348881434237e-05,0.00015140197321623664,1.0,1.0,False,0.0,0.0,running
34,26.369852067281766,6.424033974000298e-05,0.00012303156603730737,1.0,1.0,False,0.0,0.0,running
35,26.36985401226557,5.3953142980753454e-05,9.998420429488164e-05,1.0,1.0,False,0.0,0.0,converged
