method,family,z_mode,deploy_rel_error,weight_rel_error,final_primal,final_dual,final_rho,wall_time_sec
admm_awq_like_fixed10,curvature_admm,awq_like,0.25614756401980926,0.2589832125616315,1.4078526915093483,18.19400857025488,10.0,2.3713261666707695
admm_awq_like_online_aggressive,curvature_admm,awq_like,0.24821729097858922,0.2612206024196468,0.7545320650230835,26.015470935065224,28.96533089262429,2.9954666000364036
admm_gptq_like_fixed10,curvature_admm,gptq_like,0.2413343077208668,0.28816429926120923,1.4439090672580617,17.492818519704215,10.0,38.75221846667895
admm_gptq_like_online_aggressive,curvature_admm,gptq_like,0.21423806376330448,0.2636432647222202,0.4942326946634112,16.588751332585005,26.817428652902365,39.334377933312986
admm_hessian_diag_fixed10,curvature_admm,hessian_diag,0.23583286985583465,0.3182390057199706,1.1911137950570228,14.9915742908023,10.0,2.534206266650775
admm_hessian_diag_online_aggressive,curvature_admm,hessian_diag,0.23707269962608946,0.2972296878584311,0.6402883398473934,20.60495571452533,25.878244687800535,2.624664099984026
admm_uniform_fixed10,curvature_admm,uniform,0.2781653946794078,0.2642346662187993,2.1874826276734334,28.211313284234972,10.0,1.6052678999840282
admm_uniform_online_aggressive,curvature_admm,uniform,0.25425993719977547,0.26574857880875774,1.074769543990638,37.36658670034787,29.424519698312277,1.5472103333255898
awq_like_scale_grid,proxy_baseline,,0.2520137178303424,0.2546576623445593,,,,0.03989796666428447
fp16_reference,proxy_baseline,,0.0,0.0,,,,0.01013973333950465
gptq_like_sequential,proxy_baseline,,0.2048675903416249,0.3431059747551555,,,,0.3699148333398625
hessian_diag_clip,proxy_baseline,,0.2219734414316755,0.2291164253660879,,,,0.013316800002939999
rtn_per_channel,proxy_baseline,,0.2520137178303424,0.2546576623445593,,,,0.012031766683018455
smoothquant_like_scale_grid,proxy_baseline,,0.2520137178303424,0.2546576623445593,,,,0.037366099985471614
