iter,objective,deploy_rel_error,primal_norm,dual_norm,rho,rho_next,rho_changed,gradient,loss,decision,status
1,0.03648084388380007,0.25276126234600066,3.793408381231758,0.8558373313942239,1.0,1.5683121854901687,True,-2.5,0.8334090080386087,task_feasibility_ogd,running
2,0.11105095997567331,0.2516901296301622,2.823105613049452,2.8508860701105303,1.5683121854901687,2.155877970591951,True,-2.5,0.0678695662431773,task_feasibility_ogd,running
3,0.19300692985273527,0.2517787566499756,2.5021149238522598,5.0904177857525745,2.155877970591951,2.7655756792375104,True,-2.396492094196711,-0.24026269672582318,task_feasibility_ogd,running
4,0.26700755304874785,0.2521637212136812,2.304211409190003,7.014666367800775,2.7655756792375104,3.351198446003468,True,-2.1341023486447557,-0.2538008316247696,task_feasibility_ogd,running
5,0.32882638202346837,0.2525315147944048,2.2087092045372043,8.672844722666847,3.351198446003468,3.911880541235169,True,-1.9217785395288036,-0.09882175130746845,task_feasibility_ogd,running
6,0.3784458856589213,0.25309601584966246,2.0955551671592616,9.89623997469085,3.911880541235169,4.447714967940378,True,-1.7469251723728154,0.13873686422301423,task_feasibility_ogd,running
7,0.41837182155046104,0.25354923025280074,1.8990685916754704,10.380054169485225,4.447714967940378,4.96046134338234,True,-1.6037409015231883,0.4099504870037516,task_feasibility_ogd,running
8,0.45193469567335376,0.2547474869751765,1.8761345340687965,11.52602121352276,4.96046134338234,5.449991485778094,True,-1.4788792198375083,0.6874510105055722,task_feasibility_ogd,running
9,0.47853270017014526,0.25447080946339623,1.8233321241465505,12.443191675453532,5.449991485778094,5.923891871822607,True,-1.3896599540928967,0.9563089739310954,task_feasibility_ogd,running
10,0.5016291972814089,0.2544509460011681,1.7202215610406066,12.836009049524138,5.923891871822607,6.379705966867561,True,-1.302302641850624,1.211370088792603,task_feasibility_ogd,running
11,0.5219897603058026,0.25479963644872494,1.6430370300491668,13.237754410589393,6.379705966867561,6.818585920855481,True,-1.2258631755104825,1.4477048455373558,task_feasibility_ogd,running
12,0.5410073615497979,0.2557624795391045,1.5625765174035238,13.560048654246108,6.818585920855481,7.2404671857102,True,-1.1553476586377989,1.6670826466897457,task_feasibility_ogd,running
13,0.5575334517203855,0.2584023009548471,1.5411671232803381,14.44356058259332,7.2404671857102,7.640260529391805,True,-1.076576959744781,1.8744903895358571,task_feasibility_ogd,running
14,0.56831711991048,0.25735881696214435,1.4715080849811069,15.089592762392902,7.640260529391805,8.045380892492974,True,-1.0739891487562139,2.0734088779700346,task_feasibility_ogd,running
15,0.5823081081045852,0.25664834095182876,1.3312856746768515,14.494162348783869,8.045380892492974,8.436930618105503,True,-1.022477222486333,2.2622028671759074,task_feasibility_ogd,running
16,0.5956731745065397,0.25914713497676045,1.3227774039555489,14.822648342159123,8.436930618105503,8.798271307440876,True,-0.9319264050570102,2.4265920544330455,task_feasibility_ogd,running
