iter,objective,deploy_rel_error,primal_norm,dual_norm,rho,rho_next,rho_changed,gradient,loss,decision,status
1,0.2305147919925994,0.2504152532689998,4.95390877816201,53.17379126857241,10.0,10.0,False,0.0,0.0,fixed,running
2,0.87839696780825,0.24622353072604322,3.721601210318836,14.539443346311014,10.0,10.0,False,0.0,0.0,fixed,running
3,0.6484545746230963,0.24693596898969347,1.4945755129443545,15.409436810886852,10.0,10.0,False,0.0,0.0,fixed,running
4,0.6268451028660497,0.24527160099285286,1.4616495950820239,16.59958697787108,10.0,10.0,False,0.0,0.0,fixed,running
5,0.6268583892737266,0.24657106921595498,1.356895678397461,15.848526449148203,10.0,10.0,False,0.0,0.0,fixed,running
6,0.6322857337186133,0.24648775710730636,1.4161522851476898,16.64666448333324,10.0,10.0,False,0.0,0.0,fixed,running
7,0.6376720014678519,0.24461466648924476,1.3214182283178757,15.48886607955771,10.0,10.0,False,0.0,0.0,fixed,running
8,0.6429241615364575,0.24915189310100389,1.3089515614965967,15.468615216153399,10.0,10.0,False,0.0,0.0,fixed,running
9,0.6428755587983614,0.24773180028757696,1.4440404913404643,17.54201443188957,10.0,10.0,False,0.0,0.0,fixed,running
10,0.6420961935772962,0.24577424605682494,1.3336127738572872,16.260259749647517,10.0,10.0,False,0.0,0.0,fixed,running
11,0.6464602002274082,0.24525739770365954,1.2617699610249407,15.093280444022295,10.0,10.0,False,0.0,0.0,fixed,running
12,0.6508453701393587,0.24857433332885714,1.4042612085651123,16.52703995231388,10.0,10.0,False,0.0,0.0,fixed,running
13,0.6481928234040752,0.24621136265432514,1.3177922083147735,16.31384952541878,10.0,10.0,False,0.0,0.0,fixed,running
14,0.6509396123062399,0.24470198158308443,1.1422727049467702,13.956038728124069,10.0,10.0,False,0.0,0.0,fixed,running
15,0.6559219318404184,0.24852817722732448,1.424480157882675,16.799355676024717,10.0,10.0,False,0.0,0.0,fixed,running
16,0.6542473160570432,0.24766487747433746,1.4730620095817544,17.88836045187726,10.0,10.0,False,0.0,0.0,fixed,running
17,0.6513828751503694,0.24573346493311807,1.258773383054283,15.286777733691665,10.0,10.0,False,0.0,0.0,fixed,running
18,0.6506963065113623,0.24900289231189507,1.3748277388333179,16.48333539836218,10.0,10.0,False,0.0,0.0,fixed,running
19,0.6507558295186628,0.2439120847449795,1.3170266474091434,16.1267502705096,10.0,10.0,False,0.0,0.0,fixed,running
20,0.6548647376934418,0.24839526168806278,1.296557070267072,15.500298632826269,10.0,10.0,False,0.0,0.0,fixed,running
21,0.6538805487107952,0.2471747059073286,1.3158268347843594,16.324329461561074,10.0,10.0,False,0.0,0.0,fixed,running
22,0.6555113740510745,0.24547666546312877,1.400363221029403,16.543838151624833,10.0,10.0,False,0.0,0.0,fixed,running
23,0.6543193087356864,0.2471087854282365,1.298558921832688,15.66442990822125,10.0,10.0,False,0.0,0.0,fixed,running
24,0.6554405101934979,0.24778356997253678,1.4003402039565311,16.62242235265921,10.0,10.0,False,0.0,0.0,fixed,running
25,0.6551098440998074,0.24809836359467988,1.4241116546611712,17.55922085043969,10.0,10.0,False,0.0,0.0,fixed,running
26,0.6503508686731081,0.24399966611582846,1.1302008085254978,14.279918464549139,10.0,10.0,False,0.0,0.0,fixed,running
27,0.6571718514596724,0.2457845409019147,1.3252849982879742,15.334655167406847,10.0,10.0,False,0.0,0.0,fixed,running
28,0.6584234351046409,0.2475847807331187,1.3794926039694195,16.784681211812714,10.0,10.0,False,0.0,0.0,fixed,running
29,0.6564316159106289,0.24642705316006175,1.2736972346330446,15.681252315673857,10.0,10.0,False,0.0,0.0,fixed,running
30,0.6574974767440634,0.24670568848161137,1.310555923154072,15.989583182984026,10.0,10.0,False,0.0,0.0,fixed,running
31,0.6579693766604556,0.24588017610140409,1.3899587947848013,16.735601111228014,10.0,10.0,False,0.0,0.0,fixed,running
32,0.6579831997668268,0.24633509460223638,1.3775648479100868,16.133066360914977,10.0,10.0,False,0.0,0.0,fixed,running
33,0.6562422768724661,0.25042052873701703,1.3476054798066426,16.47125558733618,10.0,10.0,False,0.0,0.0,fixed,running
34,0.6540810595826932,0.24559533033332065,1.333412599892528,16.747767179424105,10.0,10.0,False,0.0,0.0,fixed,running
35,0.6553687300747261,0.24645202475595673,1.2496129031318732,15.01410372067207,10.0,10.0,False,0.0,0.0,fixed,running
36,0.656441738078378,0.24648490945414486,1.3947411648786943,16.622524778722923,10.0,10.0,False,0.0,0.0,fixed,running
37,0.656691403273295,0.24791479344051803,1.4413138974681146,17.245633371842672,10.0,10.0,False,0.0,0.0,fixed,running
38,0.654446671434161,0.24649877064680004,1.2534877774696487,15.343653585233813,10.0,10.0,False,0.0,0.0,fixed,running
39,0.6574924519709466,0.24568146069139243,1.3235899348655449,15.931012747109719,10.0,10.0,False,0.0,0.0,fixed,running
40,0.6570662705545435,0.2470087061902789,1.37059938352215,16.68723141739425,10.0,10.0,False,0.0,0.0,fixed,running
41,0.6567258243865188,0.2474710708083959,1.3086014907916492,16.089437805051737,10.0,10.0,False,0.0,0.0,fixed,running
