iter,objective,deploy_rel_error,primal_norm,dual_norm,rho,rho_next,rho_changed,gradient,loss,decision,status
1,0.03452574687619056,0.2527470893716168,3.9798910341533285,0.4478619796977004,1.0,1.5683121854901687,True,-2.5,2.111000710757782,task_feasibility_ogd,running
2,0.10819697288918069,0.29255380731004416,4.244959653214218,8.342263957856016,1.5683121854901687,2.155877970591951,True,-2.5,0.5385558236483219,task_feasibility_ogd,running
3,0.19821620211091648,0.29704151794923467,4.735829210217916,14.03560637891421,2.155877970591951,2.795485159246264,True,-2.5,-0.10224566258876253,task_feasibility_ogd,running
4,0.270851848895028,0.2867939106488397,4.353632411245392,16.4205739882095,2.795485159246264,3.422944708786911,True,-2.249950376623436,-0.2485865459968848,task_feasibility_ogd,running
5,0.3323860295755232,0.29265658082917073,4.091718559583468,18.49306909035471,3.422944708786911,4.005790838434075,True,-1.9533273340124584,-0.11921358297540743,task_feasibility_ogd,running
6,0.3791179423559975,0.2778269432983677,3.696731073356237,19.69887996243561,4.005790838434075,4.5862740307467655,True,-1.8415660241460534,0.11611828010547648,task_feasibility_ogd,running
7,0.42243726267227727,0.28269593769709894,3.521930445534041,20.53828100522132,4.5862740307467655,5.110616870405074,True,-1.5911574665483643,0.40996706205863626,task_feasibility_ogd,running
8,0.4556919457963273,0.2842567596357732,3.5386592020616088,23.267360836921995,5.110616870405074,5.614829847587986,True,-1.4785000863300564,0.706472979465725,task_feasibility_ogd,running
9,0.48527520883704256,0.27447638095549826,3.27080068597927,23.60556366985232,5.614829847587986,6.12760753986258,True,-1.4565517015011409,0.9863814221103413,task_feasibility_ogd,running
10,0.5000617727359851,0.2731339662542831,2.972871410933062,22.98902459542205,6.12760753986258,6.599533721875365,True,-1.3034664616587772,1.256626765644499,task_feasibility_ogd,running
11,0.5254326432909912,0.2805999421598661,3.0151763427836245,25.11533508037802,6.599533721875365,7.022754515435534,True,-1.1452770439169102,1.5063034903812684,task_feasibility_ogd,running
12,0.5404082789669785,0.27057663625592093,2.8305530021399665,25.41188982760751,7.022754515435534,7.502859791632045,True,-1.2726480257428108,1.7182260758249508,task_feasibility_ogd,running
13,0.5535063401269003,0.2683187862669401,2.6028080945517793,24.41321214596165,7.502859791632045,7.93610284921826,True,-1.1244928481052545,1.926068779081762,task_feasibility_ogd,running
14,0.5630470570526964,0.2784614978036256,2.699823993859262,26.75257732234405,7.93610284921826,8.295291655395195,True,-0.9201515790987029,2.115196480693386,task_feasibility_ogd,running
15,0.5805728385935887,0.2736925871491519,2.675219293776704,28.225404501471985,8.295291655395195,8.726857695475443,True,-1.091262081207957,2.269179685478773,task_feasibility_ogd,running
16,0.5851746344123795,0.26580064712226775,2.450302648200408,26.797305296092436,8.726857695475443,9.165790677991676,True,-1.0905063827832522,2.4214516131697095,task_feasibility_ogd,running
17,0.5926481297760852,0.269722363633193,2.434115700651349,27.555379438345465,9.165790677991676,9.52555518588535,True,-0.8818877983455335,2.5676138574770806,task_feasibility_ogd,running
18,0.6026368612630415,0.2656690038652253,2.365600173982938,28.394637306820826,9.52555518588535,9.934851179816647,True,-0.9916156720222382,2.6897520151502405,task_feasibility_ogd,running
19,0.6083288863682718,0.2671449019743546,2.288379747884489,28.102067890779548,9.934851179816647,10.293858673435915,True,-0.8596372428106267,2.8113244265828308,task_feasibility_ogd,running
20,0.6162453678483174,0.2713756533297423,2.3487946500334185,29.84633758642239,10.293858673435915,10.620015227468363,True,-0.7749957579727698,2.9165391281394584,task_feasibility_ogd,running
21,0.6285540922765899,0.2628378095792817,2.195719958581478,29.392401029403274,10.620015227468363,11.063580892456166,True,-1.0417280037636574,3.0108225149991417,task_feasibility_ogd,running
22,0.6224982240349598,0.262399158023275,2.096635202843665,28.342712474459123,11.063580892456166,11.420380824906054,True,-0.827098469317733,3.1174616259956687,task_feasibility_ogd,running
23,0.633677122096648,0.2689139339923848,2.196261179467583,30.74306537505031,11.420380824906054,11.700827461676624,True,-0.6463718260155611,3.2082131582061453,task_feasibility_ogd,running
24,0.6408172971854622,0.25949213641536534,2.0448653623051825,30.101050404552122,11.700827461676624,12.131708342204359,True,-0.9842318316438692,3.28139475855614,task_feasibility_ogd,running
25,0.6394671838668734,0.2617569299859636,1.9081889700485637,28.171189862413396,12.131708342204359,12.449053017183351,True,-0.7172779993277452,3.375274214750267,task_feasibility_ogd,running
26,0.6474518669652808,0.26926828034121825,2.1328600934746853,32.07179201300578,12.449053017183351,12.694352458833347,True,-0.5527521040262002,3.4429645724355837,task_feasibility_ogd,running
27,0.6615211874910855,0.26164521370564886,2.051814972552368,32.448242676141895,12.694352458833347,13.11447796731516,True,-0.9399147489757314,3.501032725345295,task_feasibility_ogd,running
28,0.6524894590888637,0.257868832093918,1.858564485590735,29.761777035906,13.11447796731516,13.481693869298319,True,-0.8118325410342933,3.585413013679651,task_feasibility_ogd,running
29,0.6568406710082961,0.26193609357882575,1.8946236232012559,30.921318817683694,13.481693869298319,13.752670959189686,True,-0.5953689004587122,3.658661428388406,task_feasibility_ogd,running
30,0.6645001745144093,0.26022682341242076,1.923176019402336,32.321860951514445,13.752670959189686,14.102158648916324,True,-0.7636111922152999,3.713042335341579,task_feasibility_ogd,running
31,0.66845535444589,0.2601835230746235,1.8661870472656137,31.56910029262248,14.102158648916324,14.419069594200915,True,-0.6874248480267273,3.7733504499293193,task_feasibility_ogd,running
32,0.6699334430756225,0.2618776572531738,1.8709468266865392,32.64826514006979,14.419069594200915,14.704562803532191,True,-0.6161644438324707,3.834458375464223,task_feasibility_ogd,running
33,0.6748641170757831,0.2587423936527003,1.8446889716018982,32.99463999815873,14.704562803532191,15.071518204744944,True,-0.7866511746585809,3.888410209898767,task_feasibility_ogd,running
34,0.6751103954653169,0.2567176308571242,1.7024422877098622,31.071668286003966,15.071518204744944,15.407617856898703,True,-0.7144633632382296,3.955648586365966,task_feasibility_ogd,running
35,0.6781939301549593,0.26024808068937955,1.7299837921680066,31.90731707685716,15.407617856898703,15.651607320539696,True,-0.5163936598728984,4.013902584996362,task_feasibility_ogd,running
36,0.6827307076906022,0.259311887111104,1.763074478093865,33.24667389750165,15.651607320539696,15.973270442839544,True,-0.6781037337717819,4.055976164942533,task_feasibility_ogd,running
37,0.6878397092323426,0.2579110996114009,1.7352991185000821,33.03237119444828,15.973270442839544,16.296013780874354,True,-0.6759908047327579,4.105798161123936,task_feasibility_ogd,running
38,0.6866040687916599,0.25864434455364543,1.7314488386034466,33.48837692107249,16.296013780874354,16.57684868128102,True,-0.5851583548532058,4.155973215159725,task_feasibility_ogd,running
39,0.6923504500503501,0.25733998032129246,1.7477195572901674,34.45974618637084,16.57684868128102,16.89741971628263,True,-0.6645325474641162,4.199375915536205,task_feasibility_ogd,running
40,0.690898749569162,0.25554445920679486,1.664783893197419,33.46458343404383,16.89741971628263,17.222170298208805,True,-0.668877728126462,4.250242506166527,task_feasibility_ogd,running
41,0.6940441757108332,0.2555551104903207,1.604697060374752,32.56505998177009,17.222170298208805,17.50855248753094,True,-0.5866667104169416,4.297749953778703,task_feasibility_ogd,running
42,0.6957530577912128,0.2587257994319509,1.6906602486114055,34.64388690413026,17.50855248753094,17.719252091177914,True,-0.43069066095796127,4.33810173972391,task_feasibility_ogd,running
43,0.7036630839072415,0.25560557941532874,1.6338792535674005,34.05121833159253,17.719252091177914,18.100171193041405,True,-0.7748582355627673,4.3653577584655245,task_feasibility_ogd,running
44,0.6993292398560494,0.25763683467442317,1.6635483421023154,34.74520492122924,18.100171193041405,18.343345438401894,True,-0.49179892320309504,4.41485424074322,task_feasibility_ogd,running
45,0.7071483874141308,0.25509765072292223,1.679871665099856,35.976403974358966,18.343345438401894,18.69540152013908,True,-0.7084878261638938,4.44730023413643,task_feasibility_ogd,running
46,0.7040498624380584,0.25221871890412456,1.470282786786213,32.22144427127651,18.69540152013908,19.030551031612585,True,-0.6694932587509863,4.500865615813406,task_feasibility_ogd,running
47,0.705087881609841,0.25847532102115583,1.6470072660921158,35.611283843287886,19.030551031612585,19.203286513199174,True,-0.3441462479295536,4.539222249999747,task_feasibility_ogd,running
48,0.7156572513107223,0.25291322556943385,1.5766169755341413,35.49934045198917,19.203286513199174,19.57543357952778,True,-0.7387756470130287,4.565204987936542,task_feasibility_ogd,running
49,0.7091090707967695,0.2533474020726212,1.4292489822235122,31.9410672915047,19.57543357952778,19.835352229228334,True,-0.5129607966423504,4.610581115193079,task_feasibility_ogd,running
50,0.7139571013630687,0.2550270845865442,1.5461125401444284,35.033885572289634,19.835352229228334,20.05131732340599,True,-0.4254049358709533,4.641690355741148,task_feasibility_ogd,running
51,0.717531335270404,0.2550622627755645,1.551843020227371,35.66505080224584,20.05131732340599,20.315006109980573,True,-0.5183477553638451,4.6685745516446255,task_feasibility_ogd,running
52,0.7174939738579038,0.25296323203840076,1.5442040625571818,35.691746820270886,20.315006109980573,20.64319348336155,True,-0.6420213450820005,4.697680844327375,task_feasibility_ogd,running
53,0.7193129255374939,0.2543760572403043,1.4626315685221078,34.40935581940986,20.64319348336155,20.868206016599746,True,-0.4384691198785704,4.74215543653784,task_feasibility_ogd,running
54,0.7182136893301004,0.2529569644291965,1.416904556589894,33.81928603374931,20.868206016599746,21.180197105262007,True,-0.605835925239151,4.771873640824337,task_feasibility_ogd,running
55,0.7238745965075775,0.25287775919038363,1.4453078707173403,34.65038752205473,21.180197105262007,21.43896726673365,True,-0.5003264223901365,4.809567046068833,task_feasibility_ogd,running
56,0.7218503038050873,0.2515736616906054,1.3757825892621944,33.49529051171857,21.43896726673365,21.73782383698097,True,-0.5755338682262501,4.841788510506288,task_feasibility_ogd,running
57,0.7252027948786083,0.2518515170966954,1.3438421195128056,32.9932213600286,21.73782383698097,21.981824080141294,True,-0.46818018711040876,4.878439644584773,task_feasibility_ogd,running
58,0.7260000318863915,0.25370004096135995,1.380413159888933,34.04859244413039,21.981824080141294,22.163771891996642,True,-0.34876540480510343,4.905219039285625,task_feasibility_ogd,running
59,0.7293517834029017,0.2516701880727227,1.3720527725975267,34.41390978709255,22.163771891996642,22.514865029863966,True,-0.6706792380689013,4.927181585382556,task_feasibility_ogd,running
60,0.7280142467692338,0.2512348078535265,1.2914502954631946,32.883364677669626,22.514865029863966,22.772509131038408,True,-0.4896444819619752,4.97481786226217,task_feasibility_ogd,running
61,0.7314110932185907,0.25152263516915696,1.3031907368567963,33.26248621222557,22.772509131038408,23.005986970550957,True,-0.44259888784697754,5.003877201065179,task_feasibility_ogd,running
62,0.7302408337177974,0.2506659224338029,1.2279447587839794,31.944889278653683,23.005986970550957,23.283296999804183,True,-0.5241355832502788,5.035663005566625,task_feasibility_ogd,running
63,0.7318578302034191,0.2511106469107153,1.1851504682783363,31.055694229981217,23.283296999804183,23.50701841736266,True,-0.42167967113610705,5.071457104608983,task_feasibility_ogd,running
64,0.7341862530724719,0.2512275592605588,1.2390560340710868,32.5355174128645,23.50701841736266,23.739608290619287,True,-0.43759362009894587,5.094999838104798,task_feasibility_ogd,running
65,0.7365739806521162,0.2518976099692943,1.2349445476544303,32.806268036216736,23.739608290619287,23.946506378962358,True,-0.388670369537802,5.122700468885627,task_feasibility_ogd,running
66,0.7356579367622675,0.25093863486583706,1.1964911121055466,32.30031545735159,23.946506378962358,24.227105096431437,True,-0.5257882129286897,5.151241999793109,task_feasibility_ogd,running
67,0.7388631137199433,0.2498952785404334,1.1980520459271764,32.41684895166819,24.227105096431437,24.49707388359275,True,-0.5039278514017873,5.183281353012712,task_feasibility_ogd,running
68,0.7354253143651295,0.2503005731835762,1.1114265564206494,30.514215665352513,24.49707388359275,24.710506711624554,True,-0.397414653907568,5.2181239753857955,task_feasibility_ogd,running
69,0.7383487765305715,0.24987060376968936,1.0793967853226676,29.949587386523845,24.710506711624554,24.958921553055745,True,-0.4616087528200159,5.246096610068342,task_feasibility_ogd,running
70,0.7387487495399893,0.25023287459771,1.1184798382237258,30.920336081734778,24.958921553055745,25.168716209292906,True,-0.3890686418852203,5.270185926143237,task_feasibility_ogd,running
71,0.7424703621252235,0.2521567339100698,1.1488938155006834,32.23819573377548,25.168716209292906,25.293205295077,True,-0.2309697157538002,5.296387265575515,task_feasibility_ogd,running
72,0.7422746281311144,0.24950885078435434,1.0634501784084043,30.53685703694344,25.293205295077,25.622457407945866,True,-0.6096870384993589,5.320284675267479,task_feasibility_ogd,running
73,0.7405335856815005,0.2503029822017986,1.0770141556833162,30.667100829312833,25.622457407945866,25.814548400819174,True,-0.3545294042577565,5.357590929798191,task_feasibility_ogd,running
74,0.7429610999355564,0.2489789326174611,1.0190746071784547,29.666149276698256,25.814548400819174,26.108351822783252,True,-0.5408488277936536,5.386125369005092,task_feasibility_ogd,running
75,0.7416577950633539,0.24903314893082437,0.9126972424863629,26.814149038101547,26.108351822783252,26.319972551397605,True,-0.3884031186921506,5.426480994046066,task_feasibility_ogd,running
76,0.7433333884280976,0.2503855156745831,0.9820193036852547,28.802222712507742,26.319972551397605,26.45860352758474,True,-0.2544297538226572,5.449988965269399,task_feasibility_ogd,running
77,0.746227787826742,0.2494978998776506,1.0130153341880783,30.174894903165086,26.45860352758474,26.742573128309083,True,-0.5204243287223769,5.470100672964535,task_feasibility_ogd,running
78,0.7446662442155351,0.24954901667909654,0.8783628768560371,26.710290050697115,26.742573128309083,26.947208436120565,True,-0.37402086214401753,5.515624123513256,task_feasibility_ogd,running
79,0.7452329171917836,0.24981004108459337,0.8637902953287862,26.413298152422847,26.947208436120565,27.136291765815958,True,-0.3452719172985921,5.547799859434904,task_feasibility_ogd,running
80,0.7458065175256651,0.24888208707173337,0.9275141624350383,28.323933386142503,27.136291765815958,27.397182554008836,True,-0.47544619356557205,5.570051013084278,task_feasibility_ogd,running
81,0.7472542332381944,0.24926381311192236,0.8224804363140577,25.809244048531106,27.397182554008836,27.57853365385408,True,-0.3298761165191657,5.614513560000889,task_feasibility_ogd,running
82,0.7467962407385456,0.24951408349366172,0.844450009121377,26.444022493175094,27.57853365385408,27.758573047630428,True,-0.3273535407457122,5.640558771032148,task_feasibility_ogd,running
83,0.748864606556268,0.24901117818847426,0.8460054884237909,26.729772962561736,27.758573047630428,27.98740972814983,True,-0.4155382813532804,5.6667633986722015,task_feasibility_ogd,running
84,0.7469783583033066,0.2479381963064686,0.731845399569077,23.787623989250733,27.98740972814983,28.236660748723363,True,-0.4514551791945083,5.711541893350207,task_feasibility_ogd,running
85,0.7480247395070172,0.24920876846435422,0.7651930471855185,24.468986213094578,28.236660748723363,28.361888258010616,True,-0.2266533316959194,5.739699594855779,task_feasibility_ogd,running
86,0.7490844052210297,0.24968346360624116,0.7920014193209036,25.863878937268236,28.361888258010616,28.501033083540044,True,-0.25214216393914546,5.764085487878342,task_feasibility_ogd,running
87,0.7499824473270561,0.2490252486913063,0.7395055017352522,24.795828892148357,28.501033083540044,28.743997846944954,True,-0.4398708918643164,5.802507911383968,task_feasibility_ogd,running
88,0.7493629224663304,0.24919222601835034,0.6887150046432263,23.30864936755361,28.743997846944954,28.91475171291303,True,-0.30867781809746986,5.850462814396232,task_feasibility_ogd,running
89,0.7501922347109319,0.24974613931697798,0.7241515201076585,24.49919230573193,28.91475171291303,29.050034141888457,True,-0.24464167355546307,5.881841169395894,task_feasibility_ogd,running
90,0.7509279608074847,0.24795785266868853,0.7363688888748654,24.902519847403134,29.050034141888457,29.336026738836225,True,-0.5163305646748613,5.9013940645839025,task_feasibility_ogd,running
91,0.749920101761728,0.2490653226047237,0.6853446485520793,23.200307471077753,29.336026738836225,29.45825763629705,True,-0.22035591070268312,5.934265971904528,task_feasibility_ogd,running
92,0.750196948356152,0.24865219147044892,0.6312770196495819,22.339241139445036,29.45825763629705,29.67174870946059,True,-0.38479115989790413,5.974988329951867,task_feasibility_ogd,running
93,0.7518639201784025,0.24973646020209578,0.6331997377044161,22.52331438303851,29.67174870946059,29.770158051322476,True,-0.17739564621471393,6.02115735757193,task_feasibility_ogd,running
94,0.7515242087391628,0.24879886497773626,0.6980823717143372,24.39952197739496,29.770158051322476,30.045524591246707,True,-0.4959302385215547,6.033164073769619,task_feasibility_ogd,running
95,0.7514995621287405,0.24941613937131882,0.6415425427595295,22.901061800640804,30.045524591246707,30.17654213045632,True,-0.23561002257403718,6.075679966396121,task_feasibility_ogd,running
96,0.751946590241668,0.24820358664892622,0.6060287763122301,22.374319815634678,30.17654213045632,30.445315404548637,True,-0.48267276566655726,6.118615250104644,task_feasibility_ogd,running
97,0.7515497416315858,0.2479639293213541,0.6126353604703736,22.037308160617556,30.445315404548637,30.6126601150128,True,-0.2999259438009767,6.147953548585502,task_feasibility_ogd,running
98,0.7523477503219734,0.24842447653720393,0.6172154973447469,22.387908587203974,30.6126601150128,30.728309135923762,True,-0.20737785083480498,6.168258777039363,task_feasibility_ogd,running
99,0.7530567953795313,0.2492729979817632,0.5868104473874621,21.94181148107761,30.728309135923762,30.777929297840217,True,-0.08918959496786405,6.2018519567167445,task_feasibility_ogd,running
100,0.752175390826434,0.24903643045926932,0.5841001888922426,21.904059063338625,30.777929297840217,30.99159322430042,True,-0.384340528948818,6.223924247487593,task_feasibility_ogd,running
