iter,objective,train_loss,deploy_loss,primal_norm,dual_norm,rho,rho_next,rho_changed,gradient,loss,decision,status
1,2.8461707874106383,2.845583851662081,2.8646699575377235,0.2916402750626195,0.5760108600022529,1.0,1.0,False,0.0,0.0,period,running
2,1.9820072874984331,1.9813882423425415,1.9109914006433675,0.4042325542840561,0.702238702023499,1.0,1.0,False,0.0,0.23141892995380353,balanced,running
3,1.3063570694336384,1.305694132103584,1.3827756581608937,0.4470855847752224,0.6860818153920867,1.0,1.0,False,0.0,0.0,period,running
4,0.9143794507235654,0.913674001568244,0.8717525599460497,0.42018164311089834,0.7311574424856062,1.0,1.0,False,0.0,0.23969481307205387,balanced,running
5,0.6892661739133153,0.6885276085186498,0.7155927844257707,0.4099016757675981,0.6380243303181773,1.0,1.0,False,0.0,0.0,period,running
6,0.5894084636859559,0.5886497928902467,0.5840072562920979,0.4511380093983257,0.679733841674911,1.0,1.0,False,0.0,0.1541278500497883,balanced,running
7,0.5385738923045185,0.5377998704066156,0.5471128263653912,0.4275944389057365,0.6824661060324445,1.0,1.0,False,0.0,0.0,period,running
8,0.5156375141832579,0.5148561822596976,0.5287456854836347,0.45232636804947085,0.6855722580266109,1.0,1.0,False,0.0,0.15897088693565967,balanced,running
9,0.5046428334746745,0.5038549282681384,0.5118801082909489,0.42467190917663117,0.6872019628809334,1.0,1.0,False,0.0,0.0,period,running
10,0.4963787901735379,0.49558575436106356,0.5140024984034658,0.4230039375465013,0.6459455944312228,1.0,1.0,False,0.0,0.16374227161308244,balanced,running
11,0.49206650642433786,0.49127048215564134,0.49233086461623204,0.43744515624292196,0.6755460158299654,1.0,1.0,False,0.0,0.0,period,running
12,0.48729586853930473,0.48649980924812786,0.4942559773363561,0.42473814391138554,0.6774783934644941,1.0,1.0,False,0.0,0.19072186696624027,balanced,running
13,0.4855549056174371,0.4847540096717027,0.48509614881499985,0.38508495441232155,0.6220104893861679,1.0,1.0,False,0.0,0.0,period,running
14,0.48205882430090274,0.481257986428421,0.48837961458399265,0.43414301155915275,0.6498292950990555,1.0,1.0,False,0.0,0.15385261373855794,balanced,running
15,0.47891995684503685,0.47811459288785324,0.498932731711317,0.41860516850348384,0.6803423579539742,1.0,1.0,False,0.0,0.0,period,running
16,0.47728075424444094,0.4764775578469555,0.4774059758117935,0.3849525408030634,0.6247699018611135,1.0,1.0,False,0.0,0.20217501650107184,balanced,running
