iter,objective,deploy_rel_error,primal_norm,dual_norm,rho,rho_next,rho_changed,gradient,loss,decision,status
1,0.033343998440322924,0.24742819452907303,3.6725660404735434,0.40130978240038917,1.0,1.0,False,0.0,0.0,period,running
2,0.08096095173680756,0.33499274785004374,5.427752635873415,7.219281594117789,1.0,1.0,False,0.0,0.0,balanced,running
3,0.12288110495784345,0.34390190839873036,6.787427161426888,9.406040048994464,1.0,1.0,False,0.0,0.0,period,running
4,0.13058450828847945,0.3357423147526772,6.855855482440301,9.346005587304376,1.0,1.0,False,0.0,0.0,balanced,running
5,0.13612108354128233,0.33629574829800996,6.870611324828034,9.410562915955836,1.0,1.0,False,0.0,0.0,period,running
6,0.13358877892619248,0.32603476971046913,6.89683824737936,9.387916559369128,1.0,1.0,False,0.0,0.0,balanced,running
7,0.13911960296341694,0.33449500063112464,6.841009651589585,9.316503662406102,1.0,1.0,False,0.0,0.0,period,running
8,0.1339104118639973,0.33975064246662706,6.84335716176651,9.322582292628379,1.0,1.0,False,0.0,0.0,balanced,running
9,0.1376521334607673,0.3314614210842192,6.855977753688011,9.393680130445428,1.0,1.0,False,0.0,0.0,period,running
10,0.13581014884410542,0.3312959737990847,6.867033542272228,9.286486326960777,1.0,1.0,False,0.0,0.0,balanced,running
11,0.1381149467792535,0.34194315252327095,6.92255931192433,9.44064323608653,1.0,1.0,False,0.0,0.0,period,running
12,0.13631697554976133,0.3217292939086931,6.828987854088736,9.421382552127719,1.0,1.0,False,0.0,0.0,balanced,running
13,0.13692190278446809,0.33075921917732065,6.798378719739119,9.193493384962744,1.0,1.0,False,0.0,0.0,period,running
14,0.1348989065554322,0.33776263507290416,6.829457892829079,9.296179329331528,1.0,1.0,False,0.0,0.0,balanced,running
15,0.13794194293307216,0.338502151748355,6.939243419331699,9.47141764891528,1.0,1.0,False,0.0,0.0,period,running
16,0.1372180415597224,0.32678926461813773,6.78358627491283,9.29366664821494,1.0,1.0,False,0.0,0.0,balanced,running
17,0.13629474926954446,0.3364002455239329,6.8184383361008,9.26833208684194,1.0,1.0,False,0.0,0.0,period,running
18,0.13617496062380438,0.324177189013571,6.76954495072999,9.31907407599584,1.0,1.0,False,0.0,0.0,balanced,running
19,0.13678304071175748,0.33632604843380837,6.859670993755146,9.235974634851651,1.0,1.0,False,0.0,0.0,period,running
20,0.13656078256113147,0.33805461227754746,6.8280663807925315,9.396681383481472,1.0,1.0,False,0.0,0.0,balanced,running
21,0.1379887413018063,0.33256570509318517,6.888954665574936,9.421164281054638,1.0,1.0,False,0.0,0.0,period,running
22,0.1362511680303182,0.3258738299669431,6.720786428368827,9.178708908276814,1.0,1.0,False,0.0,0.0,balanced,running
