seed,method,admm_controller,admm_rho0,bits,name,d_in,d_out,final_primal,final_dual,final_rho,recon_error
0,admm_gptq,task_feasibility,1.0,4,transformer.h.0.attn.c_attn,768,2304,0.5665391174232929,1.819870823221819,1.0590537092750834,0.10253127421488198
0,admm_gptq,task_feasibility,1.0,4,transformer.h.0.attn.c_proj,768,768,0.09591150952747479,0.5194451216570556,1.5530336827920639,0.1059783581538911
0,admm_gptq,task_feasibility,1.0,4,transformer.h.0.mlp.c_fc,768,3072,0.29104885449431844,0.6954520739219888,1.9011188204964846,0.08345735477938773
0,admm_gptq,task_feasibility,1.0,4,transformer.h.0.mlp.c_proj,3072,768,0.1756627266073287,1.0129911780098324,2.2134760959717106,0.3314763386661353
0,admm_gptq,task_feasibility,1.0,4,transformer.h.1.attn.c_attn,768,2304,0.19702524704186003,2.6852348045089194,2.8137359414453744,0.10164309771115462
0,admm_gptq,task_feasibility,1.0,4,transformer.h.1.attn.c_proj,768,768,0.1365899501131245,1.14851498840066,3.2777966437786854,0.38829526237551865
0,admm_gptq,task_feasibility,1.0,4,transformer.h.1.mlp.c_fc,768,3072,0.28569433316293397,1.0916886713332508,2.376402480591228,0.08626626853437534
0,admm_gptq,task_feasibility,1.0,4,transformer.h.1.mlp.c_proj,3072,768,0.1219050891467023,0.3981959626641501,0.9403975253673964,0.3302599991280279
0,admm_gptq,task_feasibility,1.0,4,transformer.h.2.attn.c_attn,768,2304,0.6860915408612404,4.525778596847439,6.571783794780023,0.0717683206687557
0,admm_gptq,task_feasibility,1.0,4,transformer.h.2.attn.c_proj,768,768,0.0869216728151196,0.49685385359764095,2.9400072623896008,0.3155681037167231
0,admm_gptq,task_feasibility,1.0,4,transformer.h.2.mlp.c_fc,768,3072,0.3054526210164266,0.9006245496796906,2.8414152867252658,0.08554553530722073
0,admm_gptq,task_feasibility,1.0,4,transformer.h.2.mlp.c_proj,3072,768,0.12943803308282725,0.6539775268137816,2.709706147769351,0.14673252973136403
0,admm_gptq,task_feasibility,1.0,4,transformer.h.3.attn.c_attn,768,2304,1.755183852693093,23.67368153549883,11.243778539276079,0.08654330479568609
0,admm_gptq,task_feasibility,1.0,4,transformer.h.3.attn.c_proj,768,768,0.06512893762593963,0.3897818950445165,2.761299432136517,0.24054983416530237
0,admm_gptq,task_feasibility,1.0,4,transformer.h.3.mlp.c_fc,768,3072,0.2932070970576974,0.7181622863570004,2.930781777151526,0.08005491546143981
0,admm_gptq,task_feasibility,1.0,4,transformer.h.3.mlp.c_proj,3072,768,0.11583110701565022,0.37510927715399817,1.2671939645527122,0.42343168994027813
0,admm_gptq,task_feasibility,1.0,4,transformer.h.4.attn.c_attn,768,2304,1.3929362431807195,16.918025854796646,11.446603725630085,0.09195986425011676
0,admm_gptq,task_feasibility,1.0,4,transformer.h.4.attn.c_proj,768,768,0.0901361816793338,0.2706437289585602,1.86102319560234,0.2541456978556568
0,admm_gptq,task_feasibility,1.0,4,transformer.h.4.mlp.c_fc,768,3072,0.24290639561923563,0.662658384046436,2.834147094177494,0.08663779622002007
0,admm_gptq,task_feasibility,1.0,4,transformer.h.4.mlp.c_proj,3072,768,0.0450486178269794,0.27651832400975584,1.0604895088067505,0.3128965057158972
0,admm_gptq,task_feasibility,1.0,4,transformer.h.5.attn.c_attn,768,2304,1.1611125357161276,11.575022097688429,8.908455479923077,0.11898148697754708
0,admm_gptq,task_feasibility,1.0,4,transformer.h.5.attn.c_proj,768,768,0.11847918634675873,0.6875510007399445,2.6720539373863397,0.23273279222145932
0,admm_gptq,task_feasibility,1.0,4,transformer.h.5.mlp.c_fc,768,3072,0.27098882167295474,1.074997630756513,2.7674114186921943,0.08595574868446787
0,admm_gptq,task_feasibility,1.0,4,transformer.h.5.mlp.c_proj,3072,768,0.06466822062983257,0.35263293381695643,1.3683578316101874,0.3189985942888961
0,admm_gptq,task_feasibility,1.0,4,transformer.h.6.attn.c_attn,768,2304,1.1845391655443558,11.836540137723171,9.179677531620559,0.120485081492816
0,admm_gptq,task_feasibility,1.0,4,transformer.h.6.attn.c_proj,768,768,0.09384679268491856,0.6539503421149285,1.5048080953336105,0.22214169425070046
0,admm_gptq,task_feasibility,1.0,4,transformer.h.6.mlp.c_fc,768,3072,0.29503301080363126,0.6980687282013349,2.566226336399099,0.08708785091289042
0,admm_gptq,task_feasibility,1.0,4,transformer.h.6.mlp.c_proj,3072,768,0.16104107181696878,0.40800421489051036,1.111364084056257,0.3389008904439891
0,admm_gptq,task_feasibility,1.0,4,transformer.h.7.attn.c_attn,768,2304,1.1313314292653,11.100824060239919,9.303010448909511,0.12461294961302316
0,admm_gptq,task_feasibility,1.0,4,transformer.h.7.attn.c_proj,768,768,0.260504567889912,0.9310765935929443,1.9528116824099655,0.1813409690643483
0,admm_gptq,task_feasibility,1.0,4,transformer.h.7.mlp.c_fc,768,3072,0.2529488191791119,0.576897979564562,2.2836827057264815,0.08657372539843677
0,admm_gptq,task_feasibility,1.0,4,transformer.h.7.mlp.c_proj,3072,768,0.1098569020478635,0.516946803683571,1.8345405788194835,0.31134333341819875
0,admm_gptq,task_feasibility,1.0,4,transformer.h.8.attn.c_attn,768,2304,0.7367638631794753,6.291331510959962,8.244796731162157,0.12239465442242889
0,admm_gptq,task_feasibility,1.0,4,transformer.h.8.attn.c_proj,768,768,0.21422308655425668,1.1890753210861396,1.5920354490604525,0.22099150030786932
0,admm_gptq,task_feasibility,1.0,4,transformer.h.8.mlp.c_fc,768,3072,0.24501906479132812,0.5163127256508901,2.171957176114531,0.08838027909965662
0,admm_gptq,task_feasibility,1.0,4,transformer.h.8.mlp.c_proj,3072,768,0.22555695384948163,0.7660508391119917,2.3232557909431724,0.3091273932653723
0,admm_gptq,task_feasibility,1.0,4,transformer.h.9.attn.c_attn,768,2304,0.6055859113988841,3.930088440084108,6.385743674554671,0.13106689385128106
0,admm_gptq,task_feasibility,1.0,4,transformer.h.9.attn.c_proj,768,768,0.18989139673516475,0.9652926967556011,2.7784270725091678,0.15479330465961413
0,admm_gptq,task_feasibility,1.0,4,transformer.h.9.mlp.c_fc,768,3072,0.3034481616772764,0.6517135946075642,2.150002298493537,0.08997914064811993
0,admm_gptq,task_feasibility,1.0,4,transformer.h.9.mlp.c_proj,3072,768,0.2723050509021258,1.1772494716649702,3.075179499979253,0.29306914330351014
0,admm_gptq,task_feasibility,1.0,4,transformer.h.10.attn.c_attn,768,2304,0.405492516559383,2.054066670116722,4.642917092148177,0.13631916177467554
0,admm_gptq,task_feasibility,1.0,4,transformer.h.10.attn.c_proj,768,768,0.12609773176187347,0.7513079618631685,3.658482991525411,0.14444621666414398
0,admm_gptq,task_feasibility,1.0,4,transformer.h.10.mlp.c_fc,768,3072,0.2946274658429124,0.7094184970129183,2.2453747793466827,0.09491252114204858
0,admm_gptq,task_feasibility,1.0,4,transformer.h.10.mlp.c_proj,3072,768,1.477944186808423,9.0269700351991,5.574684433249611,0.3043635456508771
