seed,method,admm_controller,admm_rho0,bits,name,d_in,d_out,final_primal,final_dual,final_rho,recon_error
2,admm_gptq,task_feasibility,0.01,4,transformer.h.0.attn.c_attn,768,2304,0.8338675852716125,0.8483501961125396,0.4916742366728909,0.09639681420747405
2,admm_gptq,task_feasibility,0.01,4,transformer.h.0.attn.c_proj,768,768,0.3001618385905015,0.13821457260822162,0.6442964309117244,0.09265174167425817
2,admm_gptq,task_feasibility,0.01,4,transformer.h.0.mlp.c_fc,768,3072,0.5667485748271291,0.3204679806550482,0.6071786592250075,0.07712295251412071
2,admm_gptq,task_feasibility,0.01,4,transformer.h.0.mlp.c_proj,3072,768,0.8998618735187293,0.3344371436407629,0.675441899977443,0.3142125313376416
2,admm_gptq,task_feasibility,0.01,4,transformer.h.1.attn.c_attn,768,2304,0.5270670977530371,0.36840177906548494,0.5778311814076791,0.07746841199170157
2,admm_gptq,task_feasibility,0.01,4,transformer.h.1.attn.c_proj,768,768,0.5085692708923856,0.22551240961940525,0.6668919303256801,0.3367417054506893
2,admm_gptq,task_feasibility,0.01,4,transformer.h.1.mlp.c_fc,768,3072,0.7382421735494152,0.8740959288243854,0.5454938111937225,0.07678697392043712
2,admm_gptq,task_feasibility,0.01,4,transformer.h.1.mlp.c_proj,3072,768,0.7160982058332719,0.2474440174553795,0.6623954950805576,0.31043034425966387
2,admm_gptq,task_feasibility,0.01,4,transformer.h.2.attn.c_attn,768,2304,0.8868643687335516,0.2848375464332833,0.680891539983186,0.05743253393835906
2,admm_gptq,task_feasibility,0.01,4,transformer.h.2.attn.c_proj,768,768,0.30086228901621964,0.0838688859648404,0.6234121035660115,0.26840154170911595
2,admm_gptq,task_feasibility,0.01,4,transformer.h.2.mlp.c_fc,768,3072,0.5767128683714955,0.225139673794491,0.5758762008678877,0.0708395638077807
2,admm_gptq,task_feasibility,0.01,4,transformer.h.2.mlp.c_proj,3072,768,1.3642206316665713,0.27648119598044124,0.6879631591951322,0.13075525919043732
2,admm_gptq,task_feasibility,0.01,4,transformer.h.3.attn.c_attn,768,2304,0.7096690925294329,0.23495379331158026,0.6613716812540341,0.05075909175748357
2,admm_gptq,task_feasibility,0.01,4,transformer.h.3.attn.c_proj,768,768,0.2566035274382046,0.17466661677419365,0.5341791863130916,0.2253276350607203
2,admm_gptq,task_feasibility,0.01,4,transformer.h.3.mlp.c_fc,768,3072,0.5511420130340234,0.22570734720815772,0.5802354109683131,0.06574241170001702
2,admm_gptq,task_feasibility,0.01,4,transformer.h.3.mlp.c_proj,3072,768,0.5185195709821702,0.13969522183090816,0.6110602474364106,0.4015250125920512
2,admm_gptq,task_feasibility,0.01,4,transformer.h.4.attn.c_attn,768,2304,0.8601069021328264,0.3319083847184033,0.6752317026795763,0.06162379959920361
2,admm_gptq,task_feasibility,0.01,4,transformer.h.4.attn.c_proj,768,768,0.18170777997344684,0.06628569197111313,0.527638574435101,0.20200249307301416
2,admm_gptq,task_feasibility,0.01,4,transformer.h.4.mlp.c_fc,768,3072,0.4734049140631649,0.15174080821484168,0.5677056432929064,0.06984602587854848
2,admm_gptq,task_feasibility,0.01,4,transformer.h.4.mlp.c_proj,3072,768,0.3260897001827989,0.12072956834359026,0.44578535231628763,0.27373048797875543
2,admm_gptq,task_feasibility,0.01,4,transformer.h.5.attn.c_attn,768,2304,0.6722306929040025,0.19153649072768225,0.6528409236080925,0.08365899116088207
2,admm_gptq,task_feasibility,0.01,4,transformer.h.5.attn.c_proj,768,768,0.2629325816234148,0.15554559645652,0.5255542383595101,0.17747399328563637
2,admm_gptq,task_feasibility,0.01,4,transformer.h.5.mlp.c_fc,768,3072,0.4776110448600989,0.15877079442044495,0.5736037861067957,0.0690973449192493
2,admm_gptq,task_feasibility,0.01,4,transformer.h.5.mlp.c_proj,3072,768,0.3459148297569447,0.10437340996313708,0.5143751535274805,0.2718658353373378
2,admm_gptq,task_feasibility,0.01,4,transformer.h.6.attn.c_attn,768,2304,0.7476165569625515,0.30725943556783536,0.653970468251302,0.0874664241176914
2,admm_gptq,task_feasibility,0.01,4,transformer.h.6.attn.c_proj,768,768,0.2799754136669285,0.22815833582307715,0.4969761230809364,0.17969430678841108
2,admm_gptq,task_feasibility,0.01,4,transformer.h.6.mlp.c_fc,768,3072,0.3913784009592705,0.0794115244396804,0.5758876418045017,0.07079303402279145
2,admm_gptq,task_feasibility,0.01,4,transformer.h.6.mlp.c_proj,3072,768,0.4072029052024415,0.15965465675961021,0.533173631585466,0.28321606720058673
2,admm_gptq,task_feasibility,0.01,4,transformer.h.7.attn.c_attn,768,2304,0.8815394987937868,0.38806969176226486,0.671120363717952,0.09530236847393507
2,admm_gptq,task_feasibility,0.01,4,transformer.h.7.attn.c_proj,768,768,0.3061707413561499,0.20097816365620852,0.5007202995252296,0.13713165283391301
2,admm_gptq,task_feasibility,0.01,4,transformer.h.7.mlp.c_fc,768,3072,0.37201403895825136,0.12246529162742807,0.5452973198167856,0.0703817456773807
2,admm_gptq,task_feasibility,0.01,4,transformer.h.7.mlp.c_proj,3072,768,0.402234405178791,0.13657185049228104,0.5448421623189876,0.25783794926319403
2,admm_gptq,task_feasibility,0.01,4,transformer.h.8.attn.c_attn,768,2304,0.902359867365857,0.4762109836132425,0.6641918632169055,0.09656625277629077
2,admm_gptq,task_feasibility,0.01,4,transformer.h.8.attn.c_proj,768,768,0.3547842750795744,0.2990107995896966,0.538016822422516,0.1602951198029594
2,admm_gptq,task_feasibility,0.01,4,transformer.h.8.mlp.c_fc,768,3072,0.38260559407335926,0.12951965176423458,0.5727356103729617,0.07113231626510505
2,admm_gptq,task_feasibility,0.01,4,transformer.h.8.mlp.c_proj,3072,768,0.5019179751202486,0.16497409791589457,0.5890454940481911,0.25803493980207953
2,admm_gptq,task_feasibility,0.01,4,transformer.h.9.attn.c_attn,768,2304,0.9306206387849748,0.6308838898903982,0.6468865615710112,0.1022464329339918
2,admm_gptq,task_feasibility,0.01,4,transformer.h.9.attn.c_proj,768,768,0.31346144595371755,0.1739109596610752,0.5734809024954076,0.11332231063528671
2,admm_gptq,task_feasibility,0.01,4,transformer.h.9.mlp.c_fc,768,3072,0.3784845502806909,0.11756089155420972,0.5727696305067824,0.07187489479192628
2,admm_gptq,task_feasibility,0.01,4,transformer.h.9.mlp.c_proj,3072,768,0.5658346514728587,0.21235378629097496,0.6126902550702834,0.23949347456566902
2,admm_gptq,task_feasibility,0.01,4,transformer.h.10.attn.c_attn,768,2304,0.9951839705389902,0.7257065483519617,0.6345375010187995,0.10499526977819207
2,admm_gptq,task_feasibility,0.01,4,transformer.h.10.attn.c_proj,768,768,0.3119620700090067,0.0747320404623589,0.646263238930746,0.09618405130498664
