model,corpus,device,seed,method,admm_controller,admm_rho0,bits,loss,ppl,delta_loss,delta_ppl,eval_tokens,num_quantized_modules,mean_module_recon_error,median_module_recon_error,max_module_recon_error,mean_final_primal,mean_final_dual,mean_final_rho,quantize_wall_time_sec,eval_wall_time_sec
gpt2,wikitext2,cuda,0,fp32,,,,3.3676271207870974,29.009609024820953,0.0,0.0,285696,0,0.0,0.0,0.0,0.0,0.0,0.0,3.670342266559601e-06,5.347965370863676
gpt2,wikitext2,cuda,0,admm_gptq,task_norm_magnitude,1.0,4,5.896759822804441,363.85659593671346,2.5291327020173435,334.8469869118925,285696,49,0.16281685646742164,0.10542973610601529,0.4240589962510164,9.916881260172616,0.4983079603959963,0.27173583821018454,144.5150269716978,5.003577869385481
gpt2,wikitext2,cuda,1,fp32,,,,3.3676271207870974,29.009609024820953,0.0,0.0,285696,0,0.0,0.0,0.0,0.0,0.0,0.0,1.7180107533931732e-05,5.290435872972012
gpt2,wikitext2,cuda,1,admm_gptq,task_norm_magnitude,1.0,4,5.410521391899355,223.7482177811552,2.0428942711122575,194.73860875633426,285696,49,0.16250535184979703,0.10527509454411275,0.4248100346628671,9.86464783964901,0.4929937083389417,0.2732322121786098,147.85797907877713,4.660049976781011
gpt2,wikitext2,cuda,2,fp32,,,,3.3676271207870974,29.009609024820953,0.0,0.0,285696,0,0.0,0.0,0.0,0.0,0.0,0.0,2.5221146643161774e-05,5.444883325137198
gpt2,wikitext2,cuda,2,admm_gptq,task_norm_magnitude,1.0,4,5.652963364850663,285.1351746522087,2.285336244063566,256.12556562738774,285696,49,0.16310329483655547,0.1053829026196569,0.42561867920204816,9.825500077408952,0.491445958947022,0.2734889768349093,148.48376901261508,5.0319939982146025
gpt2,wikitext2,cuda,3,fp32,,,,3.3676271207870974,29.009609024820953,0.0,0.0,285696,0,0.0,0.0,0.0,0.0,0.0,0.0,1.779012382030487e-05,5.24605652038008
gpt2,wikitext2,cuda,3,admm_gptq,task_norm_magnitude,1.0,4,5.581430953036072,265.4511823186298,2.213803832248975,236.44157329380883,285696,49,0.16289953690280692,0.10524113203197373,0.42405486188722713,9.952037389370428,0.49565060121673454,0.2750067130355078,145.27359843906015,4.797638229094446
gpt2,wikitext2,cuda,4,fp32,,,,3.3676271207870974,29.009609024820953,0.0,0.0,285696,0,0.0,0.0,0.0,0.0,0.0,0.0,1.9540078938007355e-05,5.41091342177242
gpt2,wikitext2,cuda,4,admm_gptq,task_norm_magnitude,1.0,4,5.87397826957019,355.6610852108936,2.506351148783093,326.6514761860726,285696,49,0.1631184369354048,0.10559730925973362,0.42403577174322227,9.85508179469871,0.4892709313503416,0.2739988096234367,133.90678932797164,2.9207904813811183
