model,corpus,device,seed,method,admm_controller,admm_rho0,bits,loss,ppl,delta_loss,delta_ppl,eval_tokens,num_quantized_modules,mean_module_recon_error,median_module_recon_error,max_module_recon_error,mean_final_primal,mean_final_dual,mean_final_rho,quantize_wall_time_sec,eval_wall_time_sec
gpt2,wikitext2,cuda,0,fp32,,,,3.3676271207870974,29.009609024820953,0.0,0.0,285696,0,0.0,0.0,0.0,0.0,0.0,0.0,2.7101486921310425e-06,2.886708258651197
gpt2,wikitext2,cuda,0,admm_gptq,task_norm_magnitude,1.0,3,20.434497183796324,485165195.4097903,17.066870063009226,485165166.40018123,285696,49,0.3499978562891605,0.2768864955932872,0.8107820863862201,47.43839430467246,0.8117398283372849,0.06685410567311408,210.14199604839087,5.356813450343907
gpt2,wikitext2,cuda,1,fp32,,,,3.3676271207870974,29.009609024820953,0.0,0.0,285696,0,0.0,0.0,0.0,0.0,0.0,0.0,1.3650394976139069e-05,5.413115994073451
gpt2,wikitext2,cuda,1,admm_gptq,task_norm_magnitude,1.0,3,19.091162849070777,195517969.55944517,15.723535728283679,195517940.54983616,285696,49,0.3507044826778404,0.27509932207380317,0.8132095823644444,47.16136696776066,0.798873128412904,0.06826249821377713,211.232914512977,2.885182311758399
gpt2,wikitext2,cuda,2,fp32,,,,3.3676271207870974,29.009609024820953,0.0,0.0,285696,0,0.0,0.0,0.0,0.0,0.0,0.0,1.9089318811893463e-05,2.943538040854037
gpt2,wikitext2,cuda,2,admm_gptq,task_norm_magnitude,1.0,3,18.050329772374962,69049194.50574768,14.682702651587864,69049165.49613865,285696,49,0.3500204957201804,0.2732434305113001,0.8107869596377708,47.06961086010875,0.8050295722272583,0.06780166256886468,221.0134490886703,4.883047126233578
gpt2,wikitext2,cuda,3,fp32,,,,3.3676271207870974,29.009609024820953,0.0,0.0,285696,0,0.0,0.0,0.0,0.0,0.0,0.0,1.3910233974456787e-05,5.262821180745959
gpt2,wikitext2,cuda,3,admm_gptq,task_norm_magnitude,1.0,3,21.616627799140083,485165195.4097903,18.249000678352985,485165166.40018123,285696,49,0.3509265208986006,0.2768155523342724,0.8112918126744201,47.22471922099892,0.7964549977934853,0.06704322373231353,218.67825942207128,5.197435501031578
gpt2,wikitext2,cuda,4,fp32,,,,3.3676271207870974,29.009609024820953,0.0,0.0,285696,0,0.0,0.0,0.0,0.0,0.0,0.0,1.484062522649765e-05,4.951466001570225
gpt2,wikitext2,cuda,4,admm_gptq,task_norm_magnitude,1.0,3,20.61318217041672,485165195.4097903,17.245555049629623,485165166.40018123,285696,49,0.35079635593688036,0.2772935440234786,0.8127810410113658,46.7147052877492,0.7870367429320434,0.0679905732365893,220.99426436796784,5.391499316319823
