seed,method,admm_controller,admm_rho0,bits,name,d_in,d_out,recon_error,final_primal,final_dual,final_rho
0,gptq_proxy,,,4,model.decoder.layers.0.self_attn.k_proj,768,768,0.09900771506285404,,,
0,gptq_proxy,,,4,model.decoder.layers.0.self_attn.v_proj,768,768,0.15069378562747915,,,
0,gptq_proxy,,,4,model.decoder.layers.0.self_attn.q_proj,768,768,0.09417329996473374,,,
0,gptq_proxy,,,4,model.decoder.layers.0.self_attn.out_proj,768,768,0.08053732500319444,,,
0,gptq_proxy,,,4,model.decoder.layers.0.fc1,768,3072,0.05781480385159521,,,
0,gptq_proxy,,,4,model.decoder.layers.0.fc2,3072,768,0.07147086365006629,,,
0,gptq_proxy,,,4,model.decoder.layers.1.self_attn.k_proj,768,768,0.08850801621617099,,,
0,gptq_proxy,,,4,model.decoder.layers.1.self_attn.v_proj,768,768,0.1443734741217404,,,
0,gptq_proxy,,,4,model.decoder.layers.1.self_attn.q_proj,768,768,0.10305160314934936,,,
0,gptq_proxy,,,4,model.decoder.layers.1.self_attn.out_proj,768,768,0.12567223877495726,,,
0,gptq_proxy,,,4,model.decoder.layers.1.fc1,768,3072,0.06837977918507171,,,
0,gptq_proxy,,,4,model.decoder.layers.1.fc2,3072,768,0.14085775299482398,,,
0,gptq_proxy,,,4,model.decoder.layers.2.self_attn.k_proj,768,768,0.09652788060496144,,,
0,gptq_proxy,,,4,model.decoder.layers.2.self_attn.v_proj,768,768,0.13841238558345031,,,
0,gptq_proxy,,,4,model.decoder.layers.2.self_attn.q_proj,768,768,0.0938911340445233,,,
0,gptq_proxy,,,4,model.decoder.layers.2.self_attn.out_proj,768,768,0.15449350879915016,,,
0,gptq_proxy,,,4,model.decoder.layers.2.fc1,768,3072,0.08385745345474731,,,
0,gptq_proxy,,,4,model.decoder.layers.2.fc2,3072,768,0.051186678556058726,,,
0,gptq_proxy,,,4,model.decoder.layers.3.self_attn.k_proj,768,768,0.05921634273522898,,,
0,gptq_proxy,,,4,model.decoder.layers.3.self_attn.v_proj,768,768,0.1329042221385804,,,
0,gptq_proxy,,,4,model.decoder.layers.3.self_attn.q_proj,768,768,0.06329271659310845,,,
0,gptq_proxy,,,4,model.decoder.layers.3.self_attn.out_proj,768,768,0.14114159524086373,,,
0,gptq_proxy,,,4,model.decoder.layers.3.fc1,768,3072,0.06937322001639418,,,
0,gptq_proxy,,,4,model.decoder.layers.3.fc2,3072,768,0.14934101640412567,,,
0,gptq_proxy,,,4,model.decoder.layers.4.self_attn.k_proj,768,768,0.0704831151140765,,,
0,gptq_proxy,,,4,model.decoder.layers.4.self_attn.v_proj,768,768,0.1366753404357818,,,
0,gptq_proxy,,,4,model.decoder.layers.4.self_attn.q_proj,768,768,0.07737720774245034,,,
0,gptq_proxy,,,4,model.decoder.layers.4.self_attn.out_proj,768,768,0.13006239582166382,,,
0,gptq_proxy,,,4,model.decoder.layers.4.fc1,768,3072,0.06227986355212721,,,
0,gptq_proxy,,,4,model.decoder.layers.4.fc2,3072,768,0.21056871474148078,,,
0,gptq_proxy,,,4,model.decoder.layers.5.self_attn.k_proj,768,768,0.07586096114643723,,,
0,gptq_proxy,,,4,model.decoder.layers.5.self_attn.v_proj,768,768,0.14878067274176798,,,
0,gptq_proxy,,,4,model.decoder.layers.5.self_attn.q_proj,768,768,0.07986525423921059,,,
0,gptq_proxy,,,4,model.decoder.layers.5.self_attn.out_proj,768,768,0.14609744280203965,,,
0,gptq_proxy,,,4,model.decoder.layers.5.fc1,768,3072,0.06851900182677123,,,
0,gptq_proxy,,,4,model.decoder.layers.5.fc2,3072,768,0.3509996469551678,,,
