model,corpus,device,seed,method,admm_controller,admm_rho0,bits,loss,ppl,delta_loss,delta_ppl,eval_tokens,num_quantized_modules,mean_module_recon_error,median_module_recon_error,max_module_recon_error,mean_final_primal,mean_final_dual,mean_final_rho,quantize_wall_time_sec,eval_wall_time_sec
facebook/opt-125m,wikitext2,cuda,0,fp32,,,,3.309317954152608,27.366453928942782,0.0,0.0,284672,0,0.0,0.0,0.0,0.0,0.0,0.0,1.1200008884770796e-06,0.7312899549997383
facebook/opt-125m,wikitext2,cuda,0,gptq_proxy,,,4,4.092564364989027,59.89328318269006,0.7832464108364188,32.52682925374728,284672,73,0.13086164108366885,0.13006239582166382,0.3636619027325806,0.0,0.0,0.0,7.487025731999893,0.7357739960007166
facebook/opt-125m,wikitext2,cuda,0,awq_proxy,,,4,3.9075389011300725,49.776296714365564,0.5982209469774644,22.409842785422782,284672,73,0.13362813849259766,0.12397878232130637,0.2919638590726642,0.0,0.0,0.0,1.5010692209998524,0.7311547330009489
facebook/opt-125m,wikitext2,cuda,0,admm_gptq,task_norm_magnitude,1.0,4,4.501491541485135,90.15149576640684,1.1921735873325265,62.78504183746406,284672,73,0.14663675563369294,0.11364035813919005,0.48940799768394366,3.66870454150113,0.22183935363933682,5.497360350291542,140.59038007199888,0.7285829470001772
facebook/opt-125m,wikitext2,cuda,1,fp32,,,,3.309317954152608,27.366453928942782,0.0,0.0,284672,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0729001334984787e-05,0.7372390010004892
facebook/opt-125m,wikitext2,cuda,1,gptq_proxy,,,4,4.076221556972257,58.92241372950093,0.766903602819649,31.55595980055815,284672,73,0.13061357849221059,0.12860090028865023,0.36218514525338735,0.0,0.0,0.0,7.3451859329998115,0.7297372789998917
facebook/opt-125m,wikitext2,cuda,1,awq_proxy,,,4,3.9097148085669646,49.884723248839215,0.6003968544143565,22.518269319896433,284672,73,0.133604323255483,0.12490412455739358,0.29259729119961814,0.0,0.0,0.0,1.5320645310002874,0.7277823660006106
facebook/opt-125m,wikitext2,cuda,1,admm_gptq,task_norm_magnitude,1.0,4,4.4605591554435895,86.53588258073131,1.1512412012909814,59.16942865178853,284672,73,0.14672455587884148,0.11404476353059007,0.49067738444182046,3.646855807289762,0.22148539308771295,5.4716421436544165,140.74965328799954,0.730313957999897
facebook/opt-125m,wikitext2,cuda,2,fp32,,,,3.309317954152608,27.366453928942782,0.0,0.0,284672,0,0.0,0.0,0.0,0.0,0.0,0.0,1.880000127130188e-05,0.7363148399999773
facebook/opt-125m,wikitext2,cuda,2,gptq_proxy,,,4,4.17204117431915,64.84768253306109,0.8627232201665422,37.48122860411831,284672,73,0.13026093090933227,0.1303999654501894,0.3625888664878716,0.0,0.0,0.0,7.356198888001018,0.7302522139998473
facebook/opt-125m,wikitext2,cuda,2,awq_proxy,,,4,3.9083141388652995,49.814900139380924,0.5989961847126914,22.448446210438142,284672,73,0.13372444363562705,0.12519326108079173,0.29403986409658955,0.0,0.0,0.0,1.523846122001487,0.7307383730003494
facebook/opt-125m,wikitext2,cuda,2,admm_gptq,task_norm_magnitude,1.0,4,4.380408937124897,79.87068881747275,1.0710909829722888,52.50423488852997,284672,73,0.14660318814330223,0.11383347762675962,0.490480285131158,3.637982850891653,0.22067705668982548,5.477857821142331,140.90574279999964,0.7368471549998503
