seed,method,bits,name,d_in,d_out,recon_error,final_primal,final_dual,final_rho
0,rtn,4,transformer.h.0.attn.c_attn,32,96,0.10007725438951195,,,
0,rtn,4,transformer.h.0.attn.c_proj,32,32,0.10822017734765343,,,
0,rtn,4,transformer.h.0.mlp.c_fc,32,64,0.0960121979527616,,,
0,rtn,4,transformer.h.0.mlp.c_proj,64,32,0.10705180302609876,,,
0,rtn,4,transformer.h.1.attn.c_attn,32,96,0.09826721122920856,,,
0,rtn,4,transformer.h.1.attn.c_proj,32,32,0.09650701883300013,,,
0,rtn,4,transformer.h.1.mlp.c_fc,32,64,0.10225534632456793,,,
0,rtn,4,transformer.h.1.mlp.c_proj,64,32,0.09994523388552184,,,
0,rtn,4,lm_head,32,128,0.0903605858521767,,,
0,gptq_proxy,4,transformer.h.0.attn.c_attn,32,96,0.1716518807347868,,,
0,gptq_proxy,4,transformer.h.0.attn.c_proj,32,32,0.062287154112398685,,,
0,gptq_proxy,4,transformer.h.0.mlp.c_fc,32,64,0.16995165269968227,,,
0,gptq_proxy,4,transformer.h.0.mlp.c_proj,64,32,0.0711293949293938,,,
0,gptq_proxy,4,transformer.h.1.attn.c_attn,32,96,0.16217154292466396,,,
0,gptq_proxy,4,transformer.h.1.attn.c_proj,32,32,0.07651195673428833,,,
0,gptq_proxy,4,transformer.h.1.mlp.c_fc,32,64,0.1835897311327636,,,
0,gptq_proxy,4,transformer.h.1.mlp.c_proj,64,32,0.0714848606723562,,,
0,gptq_proxy,4,lm_head,32,128,0.13900746473290773,,,
0,awq_proxy,4,transformer.h.0.attn.c_attn,32,96,0.10007725438951195,,,
0,awq_proxy,4,transformer.h.0.attn.c_proj,32,32,0.09117057092508724,,,
0,awq_proxy,4,transformer.h.0.mlp.c_fc,32,64,0.0960121979527616,,,
0,awq_proxy,4,transformer.h.0.mlp.c_proj,64,32,0.10137821254295658,,,
0,awq_proxy,4,transformer.h.1.attn.c_attn,32,96,0.0979605321949607,,,
0,awq_proxy,4,transformer.h.1.attn.c_proj,32,32,0.09650701883300013,,,
0,awq_proxy,4,transformer.h.1.mlp.c_fc,32,64,0.10057524501809395,,,
0,awq_proxy,4,transformer.h.1.mlp.c_proj,64,32,0.09994523388552184,,,
0,awq_proxy,4,lm_head,32,128,0.08966721597815665,,,
0,admm_gptq,4,transformer.h.0.attn.c_attn,32,96,0.09897189438550971,0.016528868027294665,0.03297987828362645,1.981509242982388
0,admm_gptq,4,transformer.h.0.attn.c_proj,32,32,0.10740757980913059,1.3932988915342159e-05,0.00016937007255538597,0.25743863674726913
0,admm_gptq,4,transformer.h.0.mlp.c_fc,32,64,0.09565836105982255,0.009089981808515125,0.01858118956173372,2.034487560688298
0,admm_gptq,4,transformer.h.0.mlp.c_proj,64,32,0.10684697463728755,2.7089952861305634e-05,0.0003196011306594745,0.29114232467339224
0,admm_gptq,4,transformer.h.1.attn.c_attn,32,96,0.09673252074334734,0.007430750793358779,0.014472774971710244,2.076234001147173
0,admm_gptq,4,transformer.h.1.attn.c_proj,32,32,0.09618232991183771,8.508301740563715e-06,0.0001076209211410118,0.27218656589507023
0,admm_gptq,4,transformer.h.1.mlp.c_fc,32,64,0.0978694478086841,0.012337111989585038,0.02427170950956412,1.9547557109930047
0,admm_gptq,4,transformer.h.1.mlp.c_proj,64,32,0.09991669821308047,2.9948413302403086e-05,0.0003603282282801827,0.29408395453095737
0,admm_gptq,4,lm_head,32,128,0.08822391261948248,0.006376368115000237,0.0034686602126853872,2.1506883869953977
1,rtn,4,transformer.h.0.attn.c_attn,32,96,0.1014695506130288,,,
1,rtn,4,transformer.h.0.attn.c_proj,32,32,0.0987393408277537,,,
1,rtn,4,transformer.h.0.mlp.c_fc,32,64,0.09478696872706686,,,
1,rtn,4,transformer.h.0.mlp.c_proj,64,32,0.10641228070464412,,,
1,rtn,4,transformer.h.1.attn.c_attn,32,96,0.09871793638364547,,,
1,rtn,4,transformer.h.1.attn.c_proj,32,32,0.09616576011386298,,,
1,rtn,4,transformer.h.1.mlp.c_fc,32,64,0.10245626366208309,,,
1,rtn,4,transformer.h.1.mlp.c_proj,64,32,0.1008543470424643,,,
1,rtn,4,lm_head,32,128,0.09125050598043459,,,
1,gptq_proxy,4,transformer.h.0.attn.c_attn,32,96,0.16259862133319303,,,
1,gptq_proxy,4,transformer.h.0.attn.c_proj,32,32,0.0663200162058274,,,
1,gptq_proxy,4,transformer.h.0.mlp.c_fc,32,64,0.18330377994467567,,,
1,gptq_proxy,4,transformer.h.0.mlp.c_proj,64,32,0.06964691861607614,,,
1,gptq_proxy,4,transformer.h.1.attn.c_attn,32,96,0.1645317289409504,,,
1,gptq_proxy,4,transformer.h.1.attn.c_proj,32,32,0.07382921564810792,,,
1,gptq_proxy,4,transformer.h.1.mlp.c_fc,32,64,0.1599232344822396,,,
1,gptq_proxy,4,transformer.h.1.mlp.c_proj,64,32,0.06877630899713835,,,
1,gptq_proxy,4,lm_head,32,128,0.13569748848904747,,,
1,awq_proxy,4,transformer.h.0.attn.c_attn,32,96,0.10078371456181241,,,
1,awq_proxy,4,transformer.h.0.attn.c_proj,32,32,0.08254613705326674,,,
1,awq_proxy,4,transformer.h.0.mlp.c_fc,32,64,0.09478696872706686,,,
1,awq_proxy,4,transformer.h.0.mlp.c_proj,64,32,0.10498448244470067,,,
1,awq_proxy,4,transformer.h.1.attn.c_attn,32,96,0.09754689749427098,,,
1,awq_proxy,4,transformer.h.1.attn.c_proj,32,32,0.09292320106220849,,,
1,awq_proxy,4,transformer.h.1.mlp.c_fc,32,64,0.09895665305598039,,,
1,awq_proxy,4,transformer.h.1.mlp.c_proj,64,32,0.1008543470424643,,,
1,awq_proxy,4,lm_head,32,128,0.09052012750121571,,,
1,admm_gptq,4,transformer.h.0.attn.c_attn,32,96,0.10131645996889609,0.0011546993454153677,0.001347149293320228,2.1073755957681044
1,admm_gptq,4,transformer.h.0.attn.c_proj,32,32,0.09818626662887432,1.0228336301160284e-05,0.00013959804920967342,0.25968590299495337
1,admm_gptq,4,transformer.h.0.mlp.c_fc,32,64,0.09430595278315577,0.003451620622301315,0.001389429470254769,2.1862402930183693
1,admm_gptq,4,transformer.h.0.mlp.c_proj,64,32,0.10630423228847857,2.8153734376556487e-05,0.0003309418354293601,0.2936492676632829
1,admm_gptq,4,transformer.h.1.attn.c_attn,32,96,0.09712121872761109,0.010016760234902312,0.02121100891525582,2.126781476211454
1,admm_gptq,4,transformer.h.1.attn.c_proj,32,32,0.0959535265113998,8.521255358489081e-06,0.00012983047984548688,0.26603690412339953
1,admm_gptq,4,transformer.h.1.mlp.c_fc,32,64,0.09918696962008261,0.009328803024510526,0.018299331517640575,1.9629576784051384
1,admm_gptq,4,transformer.h.1.mlp.c_proj,64,32,0.10094051015078263,2.6639262472977438e-05,0.0003430818935121752,0.2932438943258958
1,admm_gptq,4,lm_head,32,128,0.08801859226879288,0.00918909546414182,0.018824489495440005,2.0899608894038706
