model,corpus,device,seed,method,bits,loss,ppl,delta_loss,delta_ppl,eval_tokens,num_quantized_modules,mean_module_recon_error,median_module_recon_error,max_module_recon_error,mean_final_primal,mean_final_dual,mean_final_rho,quantize_wall_time_sec,eval_wall_time_sec
random_tiny_gpt2,toy,cuda,0,fp32,,4.858313242594401,128.80675302245558,0.0,0.0,192,0,0.0,0.0,0.0,0.0,0.0,0.0,1.2423843145370483e-06,0.00564100407063961
random_tiny_gpt2,toy,cuda,0,rtn,4,4.858705520629883,128.85729099430807,0.0003922780354814748,0.05053797185249209,192,9,0.09985520320450009,0.09994523388552184,0.10822017734765343,0.0,0.0,0.0,0.050966513343155384,0.005786134861409664
random_tiny_gpt2,toy,cuda,0,gptq_proxy,4,4.8581132888793945,128.78100020844198,-0.00019995371500680648,-0.0257528140136003,192,9,0.12308729318591571,0.13900746473290773,0.1835897311327636,0.0,0.0,0.0,0.18458778224885464,0.005791656672954559
random_tiny_gpt2,toy,cuda,0,awq_proxy,4,4.858813603719075,128.87121904106328,0.000500361124673887,0.06446601860770329,192,9,0.09703260908000562,0.0979605321949607,0.10137821254295658,0.0,0.0,0.0,0.04103994835168123,0.005562297068536282
random_tiny_gpt2,toy,cuda,0,admm_gptq,4,4.858488241831462,128.82929607841402,0.00017499923706054688,0.022543055958436753,192,9,0.09864552435424251,0.0978694478086841,0.10740757980913059,0.0057602844878414956,0.010525681432439553,1.2569473760725502,0.4648473346605897,0.00855438131839037
random_tiny_gpt2,toy,cuda,1,fp32,,4.858313242594401,128.80675302245558,0.0,0.0,192,0,0.0,0.0,0.0,0.0,0.0,0.0,2.9578804969787598e-06,0.005208514630794525
random_tiny_gpt2,toy,cuda,1,rtn,4,4.858705520629883,128.85729099430807,0.0003922780354814748,0.05053797185249209,192,9,0.09898366156166488,0.0987393408277537,0.10641228070464412,0.0,0.0,0.0,0.00755535252392292,0.00522684957832098
random_tiny_gpt2,toy,cuda,1,gptq_proxy,4,4.858608722686768,128.84481847725115,0.0002954800923662404,0.03806545479557144,192,9,0.1205141458508062,0.13569748848904747,0.18330377994467567,0.0,0.0,0.0,0.06935650296509266,0.005346386693418026
random_tiny_gpt2,toy,cuda,1,awq_proxy,4,4.858269691467285,128.80114346533344,-4.3551127116181476e-05,-0.0056095571221419505,192,9,0.09598916988255407,0.09754689749427098,0.10498448244470067,0.0,0.0,0.0,0.019251746125519276,0.005199362523853779
random_tiny_gpt2,toy,cuda,1,admm_gptq,4,4.858356952667236,128.8123832980608,4.37100728349904e-05,0.005630275605227553,192,9,0.09792596988311932,0.09818626662887432,0.10630423228847857,0.003690502364420059,0.006890540105545345,1.2873257668793854,0.44301095046103,0.00561614241451025
