seed,method,admm_controller,admm_rho0,bits,name,d_in,d_out,final_primal,final_dual,final_rho,recon_error
0,admm_gptq,task_feasibility,0.1,4,transformer.h.0.attn.c_attn,32,96,0.11589748520185146,0.018888273368151052,0.1568312185490169,0.08497061358508472
0,admm_gptq,task_feasibility,0.1,4,transformer.h.0.attn.c_proj,32,32,0.00017119251396130052,0.00014723450722653027,0.12128709814735134,0.09179197414138336
0,admm_gptq,task_feasibility,0.1,4,transformer.h.0.mlp.c_fc,32,64,0.08427902034957935,0.014175465827059483,0.1568312185490169,0.08074498944711944
0,admm_gptq,task_feasibility,0.1,4,transformer.h.0.mlp.c_proj,64,32,0.0005774331667384655,0.00036800766353985756,0.13865135693155536,0.1068948477770354
0,admm_gptq,task_feasibility,0.1,4,transformer.h.1.attn.c_attn,32,96,0.11196918961052126,0.01884266542616229,0.1568312185490169,0.08294714875937792
0,admm_gptq,task_feasibility,0.1,4,transformer.h.1.attn.c_proj,32,32,0.00032628880169304674,0.0001198671518553636,0.12615384749614217,0.09369909904109024
0,admm_gptq,task_feasibility,0.1,4,transformer.h.1.mlp.c_fc,32,64,0.08678211419424353,0.013847704988167186,0.1568312185490169,0.08207200392096829
0,admm_gptq,task_feasibility,0.1,4,transformer.h.1.mlp.c_proj,64,32,0.000718718475188593,0.0003190229053917094,0.13999677160879553,0.09960772827799354
0,admm_gptq,task_feasibility,0.1,4,lm_head,32,128,0.1134389404638888,0.018317920303083178,0.1568312185490169,0.07219302636781764
0,admm_gptq,task_feasibility,1.0,4,transformer.h.0.attn.c_attn,32,96,0.026373200279782284,0.008501971170004617,1.5245535214380748,0.09819886204893002
0,admm_gptq,task_feasibility,1.0,4,transformer.h.0.attn.c_proj,32,32,4.188062403843738e-06,0.0001677409218671695,0.6902726191871782,0.09247568145521977
0,admm_gptq,task_feasibility,1.0,4,transformer.h.0.mlp.c_fc,32,64,0.020705069871730302,0.005963604018734998,1.530228870734788,0.0944441908308748
0,admm_gptq,task_feasibility,1.0,4,transformer.h.0.mlp.c_proj,64,32,1.3015108509137117e-05,0.00043101233816811405,0.7747776489128814,0.1071323532666523
0,admm_gptq,task_feasibility,1.0,4,transformer.h.1.attn.c_attn,32,96,0.028632102252239597,0.021792624943630184,1.520256529506924,0.09558879246793518
0,admm_gptq,task_feasibility,1.0,4,transformer.h.1.attn.c_proj,32,32,8.036007784066927e-06,0.00014592256832649846,0.7105639983134341,0.09438807450737975
0,admm_gptq,task_feasibility,1.0,4,transformer.h.1.mlp.c_fc,32,64,0.023076364697098208,0.010781629331477405,1.52054617477665,0.09649828557204845
0,admm_gptq,task_feasibility,1.0,4,transformer.h.1.mlp.c_proj,64,32,1.6971213061417932e-05,0.00037157473925747024,0.7847900198799511,0.09958276051553175
0,admm_gptq,task_feasibility,1.0,4,lm_head,32,128,0.031873828055813305,0.019155023698707876,1.5001523492859992,0.08584262841099628
