problem,base_method,rho0,task_metric,task_metric_std,final_primal,final_dual,final_rho,rho_min,rho_max
tanh_qat_nonconvex,online_ogd,0.01,0.295718598470407,0.08278528731049059,0.3914767865930467,0.3974605773735009,0.5815495954368687,0.0,0.0
tanh_qat_nonconvex,online_ogd,0.1,0.29724088692411,0.089905392200762,0.39011691382658115,0.4094795186817111,0.585271264808213,0.0,0.0
tanh_qat_nonconvex,online_ogd,1.0,0.31115506154493716,0.08598684164762123,0.36290609772196164,0.3720476903047603,0.5877347900510829,0.0,0.0
tanh_qat_nonconvex,online_ogd,10.0,0.32364098735495234,0.087510148852916,0.2564047082207254,0.25975467944080194,0.5899138813303092,0.0,0.0
tanh_qat_nonconvex,online_ogd,100.0,0.36715441476854344,0.08173626669609257,0.19515528583339972,0.19054509975761527,0.6105096952309116,0.0,0.0
tanh_qat_nonconvex,online_ogd_task_aware,0.01,0.2893705153373084,0.08131005165859446,0.41511365739391115,0.3748110473960213,0.5351812258596702,0.0,0.0
tanh_qat_nonconvex,online_ogd_task_aware,0.1,0.30409344333711574,0.08755807821559693,0.3973207063382636,0.3978203026666099,0.5749642627295536,0.0,0.0
tanh_qat_nonconvex,online_ogd_task_aware,1.0,0.30830452255418356,0.09227634844881413,0.36833669321374046,0.3714755026012681,0.6183190875475301,0.0,0.0
tanh_qat_nonconvex,online_ogd_task_aware,10.0,0.3318598580044213,0.0919363865569941,0.19114429552205045,0.21024137852587332,0.6311265936724931,0.0,0.0
tanh_qat_nonconvex,online_ogd_task_aware,100.0,0.40409460867960617,0.07749153060449603,0.13439562985877246,0.15274917480883757,0.6800134626184121,0.0,0.0
tanh_qat_nonconvex,online_ogd_task_feasibility,0.01,0.29871292566461555,0.0866307713419971,0.37028670939350494,0.6654361875255647,1.0368108491865147,0.0,0.0
tanh_qat_nonconvex,online_ogd_task_feasibility,0.1,0.3373361003341005,0.0828904129271929,0.3403014368048864,0.7278007624000179,1.250397585974442,0.0,0.0
tanh_qat_nonconvex,online_ogd_task_feasibility,1.0,0.3815280911422046,0.1024148029051301,0.25231542977515337,0.6037889663861066,1.3901239729018522,0.0,0.0
tanh_qat_nonconvex,online_ogd_task_feasibility,10.0,0.39867778799775305,0.11460531799100374,0.05569703012964425,0.12545635472981626,1.333148819294509,0.0,0.0
tanh_qat_nonconvex,online_ogd_task_feasibility,100.0,0.46228415234154974,0.09725253703999534,0.043324159065329576,0.09826247322856513,1.3972370712234696,0.0,0.0
tiny_llm_ptq,online_ogd,0.01,0.35430274633682407,0.012857983008563717,7.71094708285369,7.661551482491241,0.7061627299825591,0.0,0.0
tiny_llm_ptq,online_ogd,0.1,0.3542380777469123,0.008205640077495037,7.6897488889101915,7.7182660152705695,0.7152042533232917,0.0,0.0
tiny_llm_ptq,online_ogd,1.0,0.3493487123330981,0.007662024824872708,7.642893797358163,7.750096891295979,0.7211891494404282,0.0,0.0
tiny_llm_ptq,online_ogd,10.0,0.3505403268898595,0.009098193758503592,7.6304768409109895,7.787867994456317,0.7258003262936592,0.0,0.0
tiny_llm_ptq,online_ogd,100.0,0.3498184119256211,0.011060373001761237,7.5919341655586265,7.799182404008035,0.7303309020681108,0.0,0.0
tiny_llm_ptq,online_ogd_task_aware,0.01,0.3389705862131023,0.004729086130568112,7.463952169262136,7.760679970612745,0.7308027382461639,0.0,0.0
tiny_llm_ptq,online_ogd_task_aware,0.1,0.3396169110291804,0.010625382850640406,7.134384799623298,9.222821474324851,0.9200313608415142,0.0,0.0
tiny_llm_ptq,online_ogd_task_aware,1.0,0.3466169017048714,0.01338782898055162,7.195859022773533,9.963085830788707,1.00160825834841,0.0,0.0
tiny_llm_ptq,online_ogd_task_aware,10.0,0.3464560301297368,0.006656811868883327,7.129199797208564,9.933424543239212,1.0063240697561897,0.0,0.0
tiny_llm_ptq,online_ogd_task_aware,100.0,0.34206595552435104,0.006661004805442243,7.073275809803998,9.898549695283934,1.0222491892586458,0.0,0.0
tiny_llm_ptq,online_ogd_task_feasibility,0.01,0.332435396618889,0.009812214474738849,6.848271164387701,10.807177050571738,1.151657867851771,0.0,0.0
tiny_llm_ptq,online_ogd_task_feasibility,0.1,0.32652984988944267,0.008889163995039792,6.292897627564283,12.99501695694766,1.5508491336087367,0.0,0.0
tiny_llm_ptq,online_ogd_task_feasibility,1.0,0.316447175267232,0.003303891193840128,5.79384102422443,15.796859244196751,2.047696101367967,0.0,0.0
tiny_llm_ptq,online_ogd_task_feasibility,10.0,0.3227985433389668,0.011523497210473476,5.594339065814842,16.70140252175213,2.29180898058523,0.0,0.0
tiny_llm_ptq,online_ogd_task_feasibility,100.0,0.3190813923647834,0.014218883453277506,5.393157094839171,17.636199685857488,2.55064747978982,0.0,0.0
tiny_llm_ptq_vector_rho,vector_online_ogd,0.01,0.35448896484110515,0.009127267542304194,7.671153250034043,7.617946970127188,0.7067303787810398,0.6730077745485344,0.7366045506284044
tiny_llm_ptq_vector_rho,vector_online_ogd,0.1,0.35197403303647734,0.012199189432536766,7.622825768585943,7.703587335870364,0.7156566929511955,0.6832700789453577,0.7431872505176379
tiny_llm_ptq_vector_rho,vector_online_ogd,1.0,0.3493473334723482,0.0018091491789819277,7.632762403506405,7.725969275729292,0.7213767225626105,0.6892411638940642,0.7484243456260019
tiny_llm_ptq_vector_rho,vector_online_ogd,10.0,0.34914837581442787,0.003699926006785316,7.600470555562981,7.757706870736527,0.7263176826568486,0.6945848460155806,0.7518475077925532
tiny_llm_ptq_vector_rho,vector_online_ogd,100.0,0.3474688680168349,0.013219857580062382,7.603763895334416,7.834210344278348,0.730355954037751,0.6977805240531966,0.7567081244104239
tiny_llm_ptq_vector_rho,vector_task_aware,0.01,0.3445281128397189,0.012316674237963019,7.539558556647731,7.721610612293683,0.7170949667933072,0.6479866184853655,0.7954126049301914
tiny_llm_ptq_vector_rho,vector_task_aware,0.1,0.34429415511470385,0.0070643389195564335,7.301120288700575,8.873698363928119,0.8578812618448673,0.7912395483807358,0.9344735919609564
tiny_llm_ptq_vector_rho,vector_task_aware,1.0,0.348174903633054,0.011694137785831012,7.170013060567409,9.53127907575019,0.9398956895482756,0.8632985731059372,1.0696627659611506
tiny_llm_ptq_vector_rho,vector_task_aware,10.0,0.3419916742278186,0.01078571728882335,7.145313349059836,9.580539517204107,0.9524696711027102,0.8728768333634935,1.0248409736410595
tiny_llm_ptq_vector_rho,vector_task_aware,100.0,0.33955837502641945,0.011607660411028713,7.16832350597392,9.95051121633314,0.9822166728867375,0.915045528915226,1.063130923770253
tiny_llm_ptq_vector_rho,vector_task_feasibility,0.01,0.33150141510209,0.006636315306762119,6.727496977913222,11.055377125011296,1.2146811709765568,1.1347514052225947,1.2635285315922056
