iter,objective,deploy_rel_error,primal_norm,dual_norm,rho,rho_next,rho_changed,gradient,loss,decision,status
1,2.58171163390883e-05,0.25371949855919546,5.922955001807969,0.0017533977037585316,0.01,0.02013752707470478,True,-2.0,2.0,ogd,running
2,0.00021163347826307896,0.32663234119942824,7.599670253065895,0.22964222881069676,0.02013752707470478,0.03303474346250985,True,-2.0,2.0,ogd,running
3,0.0008293367625976588,0.333950750257839,7.90649810464957,0.45452616971727244,0.03303474346250985,0.04948675352752553,True,-2.0,2.0,ogd,running
4,0.0017152607125921076,0.3396035689618589,7.949906593435945,0.6459151160882342,0.04948675352752553,0.07022504601614439,True,-2.0,2.0,ogd,running
5,0.003477868853037554,0.3432612182399244,8.159011736744533,0.9476720224227361,0.07022504601614439,0.0960390178763833,True,-2.0,2.0,ogd,running
6,0.005500209882945034,0.3434499758267969,7.937530110570436,1.2505614264067195,0.0960390178763833,0.1278078991133498,True,-2.0,2.0,ogd,running
7,0.009227914783419715,0.3415778631758656,7.954254668968541,1.6264408335602611,0.1278078991133498,0.16651801129877206,True,-2.0,2.0,ogd,running
8,0.013287320394138926,0.35108903578243744,8.102438226145027,2.1373754368357485,0.16651801129877206,0.21327680008251457,True,-2.0,2.0,ogd,running
9,0.0198463591660168,0.33715880240471696,7.786426418073448,2.6704300250736517,0.21327680008251457,0.2611718754745935,True,-1.7364674087820287,1.5076595308810865,ogd,running
10,0.024818548826912867,0.3547675626250431,7.872040989371488,3.1290642229024304,0.2611718754745935,0.3053371131993183,True,-1.41162031097665,0.9963359511809071,ogd,running
11,0.034574912253030506,0.35236539043750226,8.187688996125134,3.788942815832653,0.3053371131993183,0.3450408433450929,True,-1.1584149871924558,0.6709626412760488,ogd,running
12,0.04082772853321213,0.37378429740872193,8.384316141165149,4.374821972594956,0.3450408433450929,0.38014778038057967,True,-0.9590343183593979,0.4598734118955375,ogd,running
13,0.04847783464035531,0.35169993217521445,8.038702394350471,4.655403561665686,0.38014778038057967,0.4108042802197326,True,-0.7989574486704178,0.3191665023929717,ogd,running
14,0.05118804775758368,0.3518129993654743,8.06239913709269,4.894563997806847,0.4108042802197326,0.4376583662382085,True,-0.6769376936045617,0.22912232051133172,ogd,running
