iter,objective,deploy_rel_error,primal_norm,dual_norm,rho,rho_next,rho_changed,gradient,loss,decision,status
1,0.0015512398999964195,0.2533449754189957,5.45988855393626,0.04508460069254576,0.1,0.15527072185113364,True,-2.0,11.02334052376304,task_feasibility_ogd,running
2,0.0071555131213523245,0.34114435780293434,7.374159337120584,1.6500500915950356,0.15527072185113364,0.21193871860689417,True,-2.0,6.7857573699681035,task_feasibility_ogd,running
3,0.017382841981735436,0.34511068466392664,7.907242215516727,2.712995238723402,0.21193871860689417,0.2732347424457308,True,-2.0,4.1061938021732445,task_feasibility_ogd,running
4,0.025136770060255737,0.3408866047964236,7.6698353743069365,3.2221184521656254,0.2732347424457308,0.34047145454966127,True,-2.0,2.418754735090191,task_feasibility_ogd,running
5,0.03721396426898443,0.3577223766518145,7.957609154455739,4.1330573575803315,0.34047145454966127,0.410789312250475,True,-1.90827233070104,1.345205327564094,task_feasibility_ogd,running
6,0.04588004305910061,0.32648278690093313,7.293929049446179,4.6516393737445245,0.410789312250475,0.4843093173336731,True,-1.8331460962228787,0.6122500863751988,task_feasibility_ogd,running
7,0.05822849343176655,0.3557044146506027,7.622460110515633,5.343125295744702,0.4843093173336731,0.5361309887564631,True,-1.2225141934720973,0.21387729775242909,task_feasibility_ogd,running
8,0.06909311686036053,0.3593682476375755,7.9032159366897385,6.321097879504958,0.5361309887564631,0.5877142355145819,True,-1.1810267488953405,-0.02055967398668629,task_feasibility_ogd,running
9,0.07905921700539945,0.34360294334941044,7.625023731576433,6.690710114537948,0.5877142355145819,0.6431177692262159,True,-1.228459467231862,-0.18781360733254915,task_feasibility_ogd,running
10,0.08359538785916111,0.33271162530320103,7.222887715522748,6.75521145424772,0.6431177692262159,0.6917184362069345,True,-1.0471613014602312,-0.2929934183638769,task_feasibility_ogd,running
11,0.09422136197125609,0.3785541714052108,7.985265871132116,7.767989004641937,0.6917184362069345,0.7094012550454685,True,-0.3805423340658283,-0.29772866932125236,task_feasibility_ogd,running
12,0.10179804776199211,0.3401927192042882,7.718059675685309,8.11175615028398,0.7094012550454685,0.7650595256164574,True,-1.1893257649461573,-0.3568952165776451,task_feasibility_ogd,running
13,0.10487023014339236,0.33211086405347795,7.08767699230907,7.815046729112185,0.7650595256164574,0.8020040408401015,True,-0.7728991520759685,-0.3824396505967852,task_feasibility_ogd,running
14,0.10693288161734411,0.36137117483643105,7.644306676762143,8.563173612027695,0.8020040408401015,0.8098877225795638,True,-0.16636731335072996,-0.35623408798221246,task_feasibility_ogd,running
15,0.12079217434190077,0.35711065065223946,7.881947578973258,9.156688448317814,0.8098877225795638,0.8571796817730035,True,-0.9990877468837203,-0.3598311090991216,task_feasibility_ogd,running
16,0.12004315462938289,0.3259409884419265,7.003148542952094,8.716624418885173,0.8571796817730035,0.9031783414327925,True,-0.9504085897140936,-0.3856214803159705,task_feasibility_ogd,running
17,0.12216729246547911,0.35656857343963977,7.411600999794133,9.275556509308824,0.9031783414327925,0.9045196891449566,True,-0.02781296845443182,-0.3448050723793011,task_feasibility_ogd,running
18,0.1307525801739669,0.35187771080612357,7.611938080655567,9.769750810417616,0.9045196891449566,0.9473119190123835,True,-0.8914239790756748,-0.34659775933406695,task_feasibility_ogd,running
19,0.13573578185718957,0.3419681372845754,7.218092243654064,9.703701388442557,0.9473119190123835,0.9777850203100454,True,-0.6273132268529575,-0.3438169347879384,task_feasibility_ogd,running
20,0.13564335842961134,0.34966208946927846,7.3999336485977105,10.142107596786078,0.9777850203100454,0.9843764852080856,True,-0.13657497782557493,-0.3257386106167436,task_feasibility_ogd,running
21,0.14395968757295868,0.3420267030967494,7.423353033690731,10.30254863531164,0.9843764852080856,1.0234256515339188,True,-0.8103312417724241,-0.3296315788172454,task_feasibility_ogd,running
22,0.14138952254207635,0.3318811993809159,7.0390900959508045,10.118591947419192,1.0234256515339188,1.0531995744976421,True,-0.6114012917393175,-0.3261794152312961,task_feasibility_ogd,running
23,0.14713907020719336,0.35694659639542803,7.355431117407692,10.665664994160053,1.0531995744976421,1.0475113973564325,True,0.11805356411420098,-0.29059447122373067,task_feasibility_ogd,running
24,0.15264366950392194,0.3541398262034839,7.583897662834338,11.145569086585759,1.0475113973564325,1.0420479783666168,True,0.11644576996712852,-0.2941571045784235,task_feasibility_ogd,running
25,0.15275910788756975,0.34175026532628355,7.308702922868299,10.672710792823935,1.0420479783666168,1.0368198875661243,True,0.11431269674263322,-0.30767490915955986,task_feasibility_ogd,running
26,0.14776173607658527,0.35258567053021495,7.507988121632735,10.642652672784608,1.0368198875661243,1.0716926532021116,True,-0.7667323636652619,-0.29969258802040977,task_feasibility_ogd,running
27,0.1548689774161525,0.342142518375727,7.18906597814015,10.976568451792637,1.0716926532021116,1.1001115698420507,True,-0.6181599033662617,-0.295415163408863,task_feasibility_ogd,running
28,0.15096985974217925,0.33417130175450493,7.0443366469047,10.793712302472002,1.1001115698420507,1.1276924620463338,True,-0.5955796438111881,-0.29280166788530804,task_feasibility_ogd,running
29,0.15921501861563767,0.3451191617653581,7.260680634028978,11.291369060671075,1.1276924620463338,1.1196898244087754,True,0.17432687628173216,-0.27150640528714104,task_feasibility_ogd,running
30,0.16141218686782047,0.3476837738240527,7.303711207908675,11.357663961217472,1.1196898244087754,1.1484972470924681,True,-0.6324363587941852,-0.2721297778437869,task_feasibility_ogd,running
31,0.1625328545824748,0.34225397691494613,7.097977606001369,11.321606660562953,1.1484972470924681,1.1698619406645492,True,-0.46646214130614905,-0.26612723060055277,task_feasibility_ogd,running
32,0.16381552665266827,0.3453091364525891,7.2209651611005174,11.66733123702082,1.1698619406645492,1.1729546038076124,True,-0.06788547992596816,-0.2548020420623253,task_feasibility_ogd,running
33,0.1690834260115385,0.3394414833672774,7.172895349466308,11.713642821489357,1.1729546038076124,1.2035176403477008,True,-0.6716638653903249,-0.25919339569821714,task_feasibility_ogd,running
34,0.1662648267190068,0.336165192014383,6.967527066120094,11.558343646504634,1.2035176403477008,1.2194213859071716,True,-0.34794447461467015,-0.25046458132428295,task_feasibility_ogd,running
35,0.17289246109663395,0.3535443794672429,7.286819919303366,12.134470304086612,1.2194213859071716,1.2090769382906184,True,0.22909386557540756,-0.22760385219504722,task_feasibility_ogd,running
36,0.17513293443809655,0.34234642115254926,7.291166156328378,12.262843502941136,1.2090769382906184,1.1992024423819974,True,0.22365008413787024,-0.24263234455123095,task_feasibility_ogd,running
37,0.1729720725486379,0.3386309041344416,7.126176199505238,11.732264752362294,1.1992024423819974,1.1898582215210043,True,0.21628495411686954,-0.25145955323250635,task_feasibility_ogd,running
38,0.16888497906666544,0.3490322973158142,7.308807749702339,11.851877136046314,1.1898582215210043,1.2185068365019835,True,-0.666654649144163,-0.2461612094009124,task_feasibility_ogd,running
39,0.17406033770730492,0.340981005052544,7.0848614803518855,12.08456780860645,1.2185068365019835,1.2424455443440352,True,-0.5522691845241554,-0.24064818884113454,task_feasibility_ogd,running
40,0.17203419255545685,0.33099733498080225,6.840933738573336,11.798039055459496,1.2424455443440352,1.2700284410627736,True,-0.631237888938963,-0.2402655983725663,task_feasibility_ogd,running
41,0.17573682188994288,0.34316628848677794,7.077290988301623,12.245424831777726,1.2700284410627736,1.2588234338793924,True,0.25792345213936985,-0.21722271313889238,task_feasibility_ogd,running
42,0.1793917985670508,0.3465058302220335,7.238671208627189,12.51615476509878,1.2588234338793924,1.2833894015943135,True,-0.5693344298333118,-0.2192157704859453,task_feasibility_ogd,running
43,0.18207147907920962,0.33722047494817703,6.8972848242048705,12.270463971504697,1.2833894015943135,1.3098795422694622,True,-0.6089664329108946,-0.21721995642084949,task_feasibility_ogd,running
44,0.17879128042111858,0.34438497310960914,7.005267569236995,12.522604595679772,1.3098795422694622,1.301117370932884,True,0.20236745324228123,-0.1992714962102869,task_feasibility_ogd,running
45,0.18802204314334958,0.337181969774229,7.135867194150756,12.80964190126288,1.301117370932884,1.2894353664671068,True,0.2750055417790451,-0.21035318445778478,task_feasibility_ogd,running
46,0.1818339825367768,0.33680682988519023,7.039125152855207,12.322088790622157,1.2894353664671068,1.2948094614182646,True,-0.12822081599377305,-0.21761456150052652,task_feasibility_ogd,running
47,0.1829515153772171,0.3556559698197667,7.26709760582487,12.755146021236534,1.2948094614182646,1.2837526609510905,True,0.2672457325818085,-0.1976657475907414,task_feasibility_ogd,running
48,0.1851968716691174,0.33979794895286813,7.172891891481823,12.80789862574192,1.2837526609510905,1.2730716019599817,True,0.26311396222186556,-0.21677166384213764,task_feasibility_ogd,running
49,0.18202248867857168,0.33870596558936394,7.111662180928167,12.298647066051087,1.2730716019599817,1.2749743226336967,True,-0.047519648695530825,-0.22387433459647532,task_feasibility_ogd,running
50,0.17984548488668495,0.3432592228178874,7.132701452795255,12.497838545320526,1.2749743226336967,1.264834535498438,True,0.2566388666970011,-0.21808659833580724,task_feasibility_ogd,running
51,0.18257807703578183,0.3467030463109174,7.199004233767496,12.49109837655442,1.264834535498438,1.2893963652156455,True,-0.6243187114591144,-0.21900029973070015,task_feasibility_ogd,running
52,0.17962125332835993,0.3315822769473891,6.820605623770639,12.22046284149563,1.2893963652156455,1.3135344282146013,True,-0.607940717248572,-0.2223389321274942,task_feasibility_ogd,running
53,0.18122401696183715,0.34165280156461797,6.9278019115571725,12.421559641309068,1.3135344282146013,1.3024724929404667,True,0.27985950554073713,-0.20194659495312411,task_feasibility_ogd,running
54,0.1840958144987667,0.3459593380195262,7.2279517942288205,12.828711851277705,1.3024724929404667,1.3261844089874333,True,-0.6026271842895465,-0.20340025232388528,task_feasibility_ogd,running
55,0.1898973823023101,0.33504594870872134,6.878448312300786,12.629527016038002,1.3261844089874333,1.3495050300158051,True,-0.5876301412629704,-0.2028247566388402,task_feasibility_ogd,running
56,0.18442327779318426,0.3386402904529876,6.939998917593284,12.750280785833873,1.3495050300158051,1.3464994609782315,True,0.07584162069427391,-0.18959219282403458,task_feasibility_ogd,running
57,0.1914739848795886,0.3372028458910826,7.066023145984573,13.029484381247972,1.3464994609782315,1.3348877572558817,True,0.29722399602000504,-0.19261146790993142,task_feasibility_ogd,running
58,0.18750828642757175,0.33399243044483323,6.962663917534732,12.628410119979565,1.3348877572558817,1.3257234070398416,True,0.23847524161177514,-0.20230726007901895,task_feasibility_ogd,running
59,0.18850465961994203,0.35994200062194254,7.363774693846163,13.10761362289571,1.3257234070398416,1.3484566333026091,True,-0.5936277769908918,-0.18250317358853596,task_feasibility_ogd,running
60,0.19261494238776233,0.3335688622522547,6.8962159950119055,13.173482248303957,1.3484566333026091,1.3706636969983343,True,-0.57511581102395,-0.19422340458581525,task_feasibility_ogd,running
61,0.18710363187404952,0.32770668424105404,6.675509576409159,12.455374416051662,1.3706636969983343,1.3903651443313834,True,-0.5066485360990203,-0.1913804582431682,task_feasibility_ogd,running
62,0.18884342078740998,0.3366641000781499,6.905493074018878,13.014379669307303,1.3903651443313834,1.377999778562733,True,0.31973463056714035,-0.17432302999811924,task_feasibility_ogd,running
63,0.1970105261017575,0.3464168676806445,7.172746596252321,13.391835907043836,1.377999778562733,1.3996882234347545,True,-0.5634188405226956,-0.17125894699672212,task_feasibility_ogd,running
64,0.19659899023452915,0.3344284335382471,6.8772885935987045,13.226756786668968,1.3996882234347545,1.421049218414555,True,-0.5507625710818714,-0.17277670853770194,task_feasibility_ogd,running
65,0.19702431174410795,0.3426392646358719,6.9580853711594814,13.390960571891165,1.421049218414555,1.408149642214687,True,0.3341788579049476,-0.15559708180055615,task_feasibility_ogd,running
66,0.19853019440433867,0.3368815940991273,7.024984284713835,13.515129606801004,1.408149642214687,1.3957155014739955,True,0.3275222332838823,-0.16736672679433393,task_feasibility_ogd,running
67,0.19719484316142727,0.3388170128333452,7.0234617825781225,13.207417639411878,1.3957155014739955,1.4087040016457457,True,-0.3446385442647619,-0.17278587614603966,task_feasibility_ogd,running
68,0.1962525507506273,0.3377597259196188,6.92133525940107,13.331744137941522,1.4087040016457457,1.4173392401793206,True,-0.22906495913939728,-0.16732058548539283,task_feasibility_ogd,running
69,0.197544644001661,0.336546313803219,6.924636051604212,13.41656460492156,1.4173392401793206,1.4291004460895544,True,-0.3120212693713481,-0.16414806738558854,task_feasibility_ogd,running
70,0.19724288157097025,0.3325708067715702,6.775852416054906,13.174092257029285,1.4291004460895544,1.4494432512782056,True,-0.5375286025666549,-0.16311907265560918,task_feasibility_ogd,running
71,0.1995792980647756,0.3446940197777491,6.932518010153944,13.5361675489538,1.4494432512782056,1.4363959235494381,True,0.34632902884976857,-0.14264481582443567,task_feasibility_ogd,running
72,0.20366054702969694,0.3379201426673471,6.9889828418667435,13.72294502909266,1.4363959235494381,1.4237765163724527,True,0.34034793279177056,-0.15497005893202703,task_feasibility_ogd,running
73,0.19994272710691616,0.33763150568701006,6.937878574889594,13.331035097254444,1.4237765163724527,1.4263876335168983,True,-0.07115826486325405,-0.16227531188151126,task_feasibility_ogd,running
74,0.19985178660972017,0.3464978519144134,7.072383434509417,13.665783935144148,1.4263876335168983,1.4142785403602158,True,0.33336286949795946,-0.15239754393851998,task_feasibility_ogd,running
75,0.20139086878841977,0.34199417078116406,7.056519407616345,13.68332477554718,1.4142785403602158,1.4025287123219015,True,0.32840884531453773,-0.1613218936014621,task_feasibility_ogd,running
76,0.19671463193488312,0.3363343758373641,6.961671505566912,13.221726145699092,1.4025287123219015,1.3911978166430827,True,0.3214377220091712,-0.17320333443812722,task_feasibility_ogd,running
77,0.19494962983703812,0.3443881534339323,7.094121251809956,13.368355216161714,1.3911978166430827,1.410874043924381,True,-0.5601732646669717,-0.17056990019360913,task_feasibility_ogd,running
78,0.1970184125797893,0.3309159787026608,6.8135316978950335,13.316758409183818,1.410874043924381,1.4302190713879754,True,-0.546695137175904,-0.17293784881480753,task_feasibility_ogd,running
79,0.19598143995930595,0.3400546513091692,6.8027730791549965,13.08074184816326,1.4302190713879754,1.4183601984672187,True,0.33638643573419413,-0.15629363773650276,task_feasibility_ogd,running
80,0.19943276344201455,0.3481549209201895,7.16617186529498,13.761186603616968,1.4183601984672187,1.43751984288213,True,-0.5455145109171194,-0.15413239515206928,task_feasibility_ogd,running
81,0.2039420461474172,0.3260989436801777,6.806143174550913,13.582692369046475,1.43751984288213,1.456343735307851,True,-0.5322152665454271,-0.16524946408315705,task_feasibility_ogd,running
82,0.19562078566489688,0.3244254168249837,6.573345878009947,12.931938935336472,1.456343735307851,1.4643223558209697,True,-0.2248853797777035,-0.1595785190969926,task_feasibility_ogd,running
83,0.20146082752419156,0.34361483191580666,6.968382598491414,13.643059191922044,1.4643223558209697,1.4519147108562707,True,0.3523834586553024,-0.13823300569886918,task_feasibility_ogd,running
84,0.2053123893280027,0.3472746377259558,7.116144698809269,14.05666032071586,1.4519147108562707,1.470393088498971,True,-0.5268544195359643,-0.13996038735644897,task_feasibility_ogd,running
85,0.20669438965029266,0.32610511622578847,6.70916349588262,13.56184410622078,1.470393088498971,1.4886531015492728,True,-0.5172156169216026,-0.15156890371220733,task_feasibility_ogd,running
86,0.20062224595069905,0.3357978591473905,6.825517446061763,13.664330842068116,1.4886531015492728,1.4758097629865243,True,0.3652507988648951,-0.1343619300064092,task_feasibility_ogd,running
87,0.2089269585233619,0.34157422024802003,6.995014108674032,13.972880436847975,1.4758097629865243,1.4939060558453088,True,-0.5167102066355248,-0.13488037054176044,task_feasibility_ogd,running
88,0.20563602916003362,0.33208330575473954,6.669707942008089,13.59312831241675,1.4939060558453088,1.51176632739484,True,-0.5067574933871409,-0.13544031202916118,task_feasibility_ogd,running
