iter,objective,deploy_rel_error,primal_norm,dual_norm,rho,rho_next,rho_min,rho_max,rho_changed,rho_changed_blocks,gradient,loss,decision,status,rho_attn_q_proj,rho_attn_k_proj,rho_attn_v_proj,rho_attn_o_proj,rho_mlp_gate_proj,rho_mlp_up_proj,rho_mlp_down_proj
1,2.7046705351734277e-05,0.24819980906953162,5.78158666360786,0.0015871088319231977,0.02013752707470478,0.02013752707470478,0.02013752707470478,0.02013752707470478,True,7,0.0,0.0,vector,running,0.02013752707470478,0.02013752707470478,0.02013752707470478,0.02013752707470478,0.02013752707470478,0.02013752707470478,0.02013752707470478
2,0.0002151878699949135,0.3201037170446247,7.432601644317811,0.22434704826328838,0.03303474346250983,0.03303474346250983,0.03303474346250985,0.03303474346250985,True,7,0.0,0.0,vector,running,0.03303474346250985,0.03303474346250985,0.03303474346250985,0.03303474346250985,0.03303474346250985,0.03303474346250985,0.03303474346250985
3,0.0008423608457599841,0.3152780546941787,7.684394852900572,0.44199746831430703,0.04948675352752553,0.04948675352752553,0.04948675352752553,0.04948675352752553,True,7,0.0,0.0,vector,running,0.04948675352752553,0.04948675352752553,0.04948675352752553,0.04948675352752553,0.04948675352752553,0.04948675352752553,0.04948675352752553
4,0.0017402347410591628,0.3323776802123119,7.773322790118803,0.6254634941868844,0.07022504601614435,0.07022504601614435,0.07022504601614439,0.07022504601614439,True,7,0.0,0.0,vector,running,0.07022504601614439,0.07022504601614439,0.07022504601614439,0.07022504601614439,0.07022504601614439,0.07022504601614439,0.07022504601614439
5,0.003509418100114916,0.33347382980047713,7.9372875941165475,0.919453782305873,0.0960390178763833,0.0960390178763833,0.0960390178763833,0.0960390178763833,True,7,0.0,0.0,vector,running,0.0960390178763833,0.0960390178763833,0.0960390178763833,0.0960390178763833,0.0960390178763833,0.0960390178763833,0.0960390178763833
6,0.005523647282752605,0.331000676707961,7.7038248650674666,1.2083259888274118,0.12780789911334986,0.12780789911334986,0.1278078991133498,0.1278078991133498,True,7,0.0,0.0,vector,running,0.1278078991133498,0.1278078991133498,0.1278078991133498,0.1278078991133498,0.1278078991133498,0.1278078991133498,0.1278078991133498
7,0.0092219016891762,0.32386362548300784,7.654184685476873,1.5514808366613813,0.16651801129877206,0.16651801129877206,0.16651801129877206,0.16651801129877206,True,7,0.0,0.0,vector,running,0.16651801129877206,0.16651801129877206,0.16651801129877206,0.16651801129877206,0.16651801129877206,0.16651801129877206,0.16651801129877206
8,0.01315355753728979,0.34558353522186264,7.879283293280286,2.0397927595567777,0.21312467796506115,0.21312467796506115,0.21221422111324093,0.21327680008251457,True,7,0.0,0.0,vector,running,0.21327680008251457,0.21327680008251457,0.21327680008251457,0.21327680008251457,0.21327680008251457,0.21327680008251457,0.21221422111324093
9,0.020029581481458825,0.32715787527823653,7.603488604867546,2.5696347470923513,0.2627216371703142,0.2627216371703142,0.2554246497785723,0.269326442914403,True,7,0.0,0.0,vector,running,0.25917036995301157,0.2647854767677925,0.2635369907730524,0.269326442914403,0.26352302762731483,0.2635053439137673,0.2554246497785723
10,0.025551915712035717,0.33146423986295986,7.3550510266102185,2.9457407038339314,0.309241928980771,0.309241928980771,0.29520207646781865,0.32688697170366654,True,7,0.0,0.0,vector,running,0.3012775426237096,0.31261461819742664,0.3098537588930326,0.32688697170366654,0.31002765215389133,0.3097692844838115,0.29520207646781865
