iter,objective,deploy_rel_error,primal_norm,dual_norm,rho,rho_next,rho_min,rho_max,rho_changed,rho_changed_blocks,gradient,loss,decision,status,rho_attn_q_proj,rho_attn_k_proj,rho_attn_v_proj,rho_attn_o_proj,rho_mlp_gate_proj,rho_mlp_up_proj,rho_mlp_down_proj
1,0.2504804971656825,0.2538854683164338,1.6391620884921911,1.2572820566610243,10.995765484994607,10.995765484994607,9.886290324466225,12.622139158984142,True,7,0.0,0.0,vector,running,12.622139158984142,11.737171145462565,10.313016448014082,10.767885685000989,11.128683802162543,10.737138872630432,9.886290324466225
2,0.4352126885814817,0.28819371523448895,1.6003995336012342,22.788979285682164,10.165265891914553,10.165265891914553,8.739285040768324,11.951378415330339,True,7,0.0,0.0,vector,running,11.951378415330339,11.49250960512664,9.788280568428316,9.711482443745007,10.12682515041081,9.706377382749556,8.739285040768324
3,0.527806511977157,0.31876793190047736,2.1659437497068823,29.775383502714813,8.83235873795336,8.83235873795336,7.491090509923356,10.364814905405844,True,7,0.0,0.0,vector,running,10.364814905405844,10.32557030459506,8.67737745787321,8.321154650861715,8.671371652108121,8.353267223119232,7.491090509923356
4,0.5485361256771469,0.3089240527549897,2.510757289191016,28.421005782873802,7.514504442214516,7.514504442214516,6.378151220572692,8.960484007507302,True,7,0.0,0.0,vector,running,8.70101935056889,8.960484007507302,7.514283864643032,6.994915069617033,7.309270490493901,7.082097906969883,6.378151220572692
5,0.5427828244137711,0.3272065566643,3.0482877623383517,27.543267745295143,6.378346997971417,6.378346997971417,5.452391918889868,7.693149293024991,True,7,0.0,0.0,vector,running,7.253692957446943,7.693149293024991,6.463608054267121,5.901161739378247,6.155109886932542,6.012543886366772,5.452391918889868
6,0.5273749763152621,0.31812152135252336,3.504571331871498,26.97204256614339,5.43911986742528,5.43911986742528,4.703662251131019,6.605287235940503,True,7,0.0,0.0,vector,running,6.068434379672938,6.605287235940503,5.5662629177178085,5.0052203206203565,5.219580087248451,5.1365726038292525,4.703662251131019
7,0.5040805440064482,0.32805670638326057,4.012306621123024,25.87977828886015,4.677975645334452,4.677975645334452,4.097208695790091,5.695928671604415,True,7,0.0,0.0,vector,running,5.126949036921016,5.695928671604415,4.820775529032083,4.281595587699399,4.482209240376032,4.428731856148842,4.097208695790091
8,0.47566876874052955,0.3369640376648199,4.395610181496608,24.624094661446385,4.063600444601882,4.063600444601882,3.6046420826151535,4.945155199777439,True,7,0.0,0.0,vector,running,4.384837560022122,4.945155199777439,4.207584401984264,3.698902574806137,3.896093635306406,3.8605243439455617,3.6046420826151535
9,0.4501804976568117,0.33227675768599696,4.634364629470655,22.788449573563526,3.566926736021876,3.566926736021876,3.2028169817845056,4.321920023862445,True,7,0.0,0.0,vector,running,3.7992056113005863,4.321920023862445,3.70294704612812,3.237022889551515,3.4240636740995485,3.4034750635837296,3.2028169817845056
10,0.4140052716143021,0.3190904322929333,4.9916036539707624,21.34752222753833,3.1643101050902556,3.1643101050902556,2.867697757930754,3.812102751121673,True,7,0.0,0.0,vector,running,3.3367282299730885,3.812102751121673,3.286423861034935,2.867697757930754,3.0411832292000778,3.0332633332822705,2.8724877098122965
11,0.39590046465058376,0.333985993581354,5.397639053193787,20.754442656331612,2.8360692932281757,2.8360692932281757,2.5718999467174384,3.3910244039470485,True,7,0.0,0.0,vector,running,2.967922965827758,3.3910244039470485,2.9444709714164055,2.5718999467174384,2.729067067134379,2.729963034873296,2.5989744046716763
12,0.371739432123897,0.3342613111242585,5.59746545003946,19.57771744929827,2.56516406775549,2.56516406775549,2.330619763701918,3.039518563344492,True,7,0.0,0.0,vector,running,2.669999646083752,3.039518563344492,2.6590639268942207,2.330619763701918,2.4712904404612273,2.4799508579553384,2.370953098595125
13,0.34298290980879026,0.33784626940439033,5.7083109926403806,18.191290168140895,2.339825636116162,2.339825636116162,2.130760111463521,2.7473522294605757,True,7,0.0,0.0,vector,running,2.425473114047851,2.7473522294605757,2.420256378272351,2.130760111463521,2.257733787915003,2.2708529904512185,2.179294755108393
14,0.31867029132378794,0.3355825881021122,6.017699219130463,17.48844609211251,2.1512656047006447,2.1512656047006447,1.964813298659754,2.5021256674299925,True,7,0.0,0.0,vector,running,2.22267186508984,2.5021256674299925,2.219851898531055,1.964813298659754,2.079687096778817,2.095412744975164,2.0172554478333233
15,0.30295340252531056,0.34753860666244196,6.221145639921543,16.788641869949927,1.992250168348439,1.992250168348439,1.8260986840388094,2.295204567386363,True,7,0.0,0.0,vector,running,2.0530161025886255,2.295204567386363,2.0506714117103098,1.8260986840388094,1.9292764911626863,1.946509201934959,1.8798452364646918
16,0.2836666327786013,0.33038108689346535,6.2650585659761,15.810052209344903,1.8568669528841686,1.8568669528841686,1.7079084655587957,2.1205889249509906,True,7,0.0,0.0,vector,running,1.9095039284169812,2.1205889249509906,1.9064295343425004,1.7079084655587957,1.801718948950057,1.81888752625542,1.7616118572655735
17,0.2665850820657817,0.32803786452929207,6.417724831599189,15.064701457121593,1.7409771635745956,1.7409771635745956,1.6069337203796126,1.971615281112544,True,7,0.0,0.0,vector,running,1.787255416537835,1.971615281112544,1.7825242515338873,1.6069337203796126,1.693390541127351,1.7092714636223632,1.6593620023294293
18,0.25375368254227854,0.34841933010362225,6.616667854712531,14.674590405733195,1.6412219893029478,1.6412219893029478,1.5202045168293015,1.8437259962780126,True,7,0.0,0.0,vector,running,1.6822633487930925,1.8437259962780126,1.6761852987321295,1.5202045168293015,1.600405625807795,1.614313449918726,1.570865301374531
19,0.24263938487966327,0.34970563401775895,6.678302164341706,14.172012897237792,1.5543307499513879,1.5543307499513879,1.444137209231836,1.7330274721523131,True,7,0.0,0.0,vector,running,1.5911650128692592,1.7330274721523131,1.5834070056772598,1.444137209231836,1.5199491677940504,1.531575497177464,1.4931894423898922
20,0.22938618874024547,0.34181681323252056,6.730469175304913,13.610468236065612,1.4784024144324663,1.4784024144324663,1.378243897405021,1.6363723910830608,True,7,0.0,0.0,vector,running,1.5113702432223166,1.6363723910830608,1.5025695654958995,1.378243897405021,1.4496414336591796,1.458974808265791,1.4250384365413098
21,0.2192417542952006,0.3435787035616079,6.819928535352181,13.076612463314694,1.4118505561168626,1.4118505561168626,1.3201287329008573,1.5526676892043936,True,7,0.0,0.0,vector,running,1.4411097974573972,1.5526676892043936,1.4322041991065217,1.3201287329008573,1.388109307608022,1.3950033338314034,1.3649771466595577
22,0.21091852568106367,0.3449061568101319,6.948564280625878,12.800744684793136,1.3531605071236479,1.3531605071236479,1.2690840564284354,1.4788079714049085,True,7,0.0,0.0,vector,running,1.3793513248658837,1.4788079714049085,1.3700373704900315,1.2690840564284354,1.3338371664408486,1.3386661440716212,1.311778847333429
23,0.2047559542797171,0.3464297715275498,6.9893786878733355,12.516517817601754,1.3010043069955814,1.3010043069955814,1.2235089973504791,1.41315898210819,True,7,0.0,0.0,vector,running,1.324764816971864,1.41315898210819,1.3146018754779667,1.2235089973504791,1.2857180136664568,1.2884015736281946,1.2648031573704868
24,0.19573324251388985,0.3444695392426434,6.932860737611884,11.954189694891152,1.2545645490870994,1.2545645490870994,1.1833570619585625,1.3544713400506236,True,7,0.0,0.0,vector,running,1.2756539267740137,1.3544713400506236,1.2658011540931478,1.1833570619585625,1.2426911161981982,1.2436736839031624,1.2229183343103198
25,0.18810278260803165,0.34717127924274005,7.0186216149770475,11.653122982284204,1.2130447190231024,1.2130447190231024,1.1472492425074334,1.3025831304160855,True,7,0.0,0.0,vector,running,1.2318629677518222,1.3025831304160855,1.2221393923567792,1.1472492425074334,1.2042348168098678,1.203644130489841,1.1851737593311422
26,0.18377816519388604,0.3464539298013783,7.15143780371809,11.55039623644188,1.1757854685168965,1.1757854685168965,1.1148356713405274,1.256545487281724,True,7,0.0,0.0,vector,running,1.1925757693799546,1.256545487281724,1.1828601458523251,1.1148356713405274,1.1698580981349729,1.1674669299620128,1.1510929509145056
27,0.17855060355641372,0.35433955104075326,7.121473594702533,11.240168578600228,1.1421842268595392,1.1421842268595392,1.0856529878970975,1.2150333534135525,True,7,0.0,0.0,vector,running,1.15708700390787,1.2150333534135525,1.1475952359056407,1.0856529878970975,1.1387086475354595,1.134901609308794,1.1203360071912651
28,0.17217824398898057,0.34326870432145606,7.140879015591336,10.938215031022905,1.1117897552746365,1.1117897552746365,1.0591455512818881,1.1775617815623507,True,7,0.0,0.0,vector,running,1.124800627971442,1.1775617815623507,1.115841886683024,1.0591455512818881,1.1105575348388734,1.1055376391939833,1.0925127658033114
29,0.16805965372085352,0.35513147337293594,7.221310837414797,10.78697637493159,1.0843076949682042,1.0843076949682042,1.0352242297472203,1.1438797699048946,True,7,0.0,0.0,vector,running,1.0956972495977584,1.1438797699048946,1.0872170544130282,1.0352242297472203,1.0849362539055878,1.0788428530626653,1.06729317654913
30,0.1654075722441762,0.35351227239002236,7.271883706759779,10.67176525235792,1.0593536240166557,1.0593536240166557,1.013774791255996,1.1132506936253888,True,7,0.0,0.0,vector,running,1.0691906917934149,1.1132506936253888,1.0614665863138935,1.013774791255996,1.0614796935945767,1.0544880009884774,1.0443291602903202
31,0.1614649747247041,0.351941162618301,7.193147803238298,10.400836205575192,1.0364700568132545,1.0364700568132545,0.9937090108367894,1.0850389825515927,True,7,0.0,0.0,vector,running,1.0449391137895185,1.0850389825515927,1.0381711446625614,0.9937090108367894,1.040133428921375,1.0320923267038766,1.023352388323411
32,0.1561422333301784,0.3467004862824923,7.161154918737441,10.082037201444006,1.015566012554375,1.015566012554375,0.9756615185375308,1.0592515653724088,True,7,0.0,0.0,vector,running,1.0227807617033324,1.0592515653724088,1.01678118085507,0.9756615185375308,1.0205308704278473,1.0117048892190035,1.0040810510492235
33,0.1537775861863705,0.36446140918377096,7.301962776025602,10.056597013368744,0.9965420211344459,0.9965420211344459,0.9594799447611537,1.0360928211110494,True,7,0.0,0.0,vector,running,1.0024768253228635,1.0360928211110494,0.9973444846373487,0.9594799447611537,1.0025620340043493,0.9928847682070169,0.9865182264676808
34,0.15240156464769047,0.35082324039619234,7.266470375254655,9.946035847457997,0.9789717361893401,0.9789717361893401,0.9443607962130262,1.0145270440751426,True,7,0.0,0.0,vector,running,0.9838322808181389,1.0145270440751426,0.9795248924499133,0.9443607962130262,0.9859561820651863,0.9755856967195469,0.9703533561295311
35,0.14911018711444718,0.3490772826501297,7.335893250807872,9.809167844475185,0.9627781969298468,0.9627781969298468,0.930271341672935,0.9948690186494177,True,7,0.0,0.0,vector,running,0.966629085752531,0.9948690186494177,0.9630112384239418,0.930271341672935,0.9707264088350456,0.959717237796461,0.9553814915338802
36,0.1462779499113073,0.34365984763091945,7.239135409441934,9.614750171505111,0.9478067165465154,0.9478067165465154,0.9175550579744992,0.9764446017890913,True,7,0.0,0.0,vector,running,0.9506691517943399,0.9764446017890913,0.9478619160323942,0.9175550579744992,0.9566058155337676,0.9449501118823265,0.9415477673657978
37,0.14255615350294137,0.34405996279788953,7.256634383422194,9.406347664495057,0.934019545099988,0.934019545099988,0.9055290147171126,0.9596888928909741,True,7,0.0,0.0,vector,running,0.9360482601130095,0.9596888928909741,0.934116221349562,0.9055290147171126,0.9435590676452932,0.931339784097433,0.9287151050180071
38,0.14209996868788233,0.3560096242006346,7.418560915986907,9.49105821969982,0.9213160938620146,0.9213160938620146,0.8945974900953098,0.9442634871740065,True,7,0.0,0.0,vector,running,0.9226797168617241,0.9442634871740065,0.9213126278099735,0.8945974900953098,0.9314927501886433,0.918749378066655,0.9168645823798538
39,0.1413448190728732,0.36784355996772755,7.316307632594335,9.375863659239224,0.9094373914341425,0.9094373914341425,0.8844279279111049,0.9298354061467095,True,7,0.0,0.0,vector,running,0.9101234593696604,0.9298354061467095,0.909300058946257,0.8844279279111049,0.9201864243645969,0.9069568391630624,0.9058809906279284
40,0.1366703132317231,0.33991354536753526,7.232729016835666,9.105069567950734,0.8983635085825677,0.8983635085825677,0.8748164977487359,0.9164264781820612,True,7,0.0,0.0,vector,running,0.8984967579905748,0.9164264781820612,0.8981349386236941,0.8748164977487359,0.9096153845020902,0.8960501933905376,0.8955748404419188
41,0.1366980686672709,0.35134906500429913,7.332384347662236,9.056111460081944,0.8881445855552837,0.8881445855552837,0.8660378008528283,0.9040050448767234,True,7,0.0,0.0,vector,running,0.8876716750210358,0.9040050448767234,0.8879559173858477,0.8660378008528283,0.8998961980810288,0.8858787970120057,0.8860689397287795
42,0.13478531875014688,0.35903460635315065,7.38122354406223,9.077464416808832,0.8786123269157253,0.8786123269157253,0.8580754664490786,0.8923627311006567,True,7,0.0,0.0,vector,running,0.8775613062656346,0.8923627311006567,0.8783359198222846,0.8580754664490786,0.8908785292931627,0.8763479100285196,0.8771643619199005
43,0.13345255847181847,0.35891887372706305,7.369972215843213,8.982441525187523,0.8696748564620789,0.8696748564620789,0.8502021921331704,0.8823249820426609,True,7,0.0,0.0,vector,running,0.8683731819871959,0.8816962090562342,0.8692469209333573,0.8502021921331704,0.8823249820426609,0.8675336458844634,0.8687458412167248
