iter,objective,deploy_rel_error,primal_norm,dual_norm,rho,rho_next,rho_min,rho_max,rho_changed,rho_changed_blocks,gradient,loss,decision,status,rho_attn_q_proj,rho_attn_k_proj,rho_attn_v_proj,rho_attn_o_proj,rho_mlp_gate_proj,rho_mlp_up_proj,rho_mlp_down_proj
1,0.0015512398999964195,0.2533449754189957,5.45988855393626,0.04508460069254575,0.1648721270700129,0.1648721270700129,0.16487212707001286,0.16487212707001286,True,7,0.0,0.0,vector,running,0.16487212707001286,0.16487212707001286,0.16487212707001286,0.16487212707001286,0.16487212707001286,0.16487212707001286,0.16487212707001286
2,0.007527520967076751,0.3351288741257478,7.155073600787639,1.6904579146068097,0.2347975319426905,0.2347975319426905,0.2347975319426905,0.2347975319426905,True,7,0.0,0.0,vector,running,0.2347975319426905,0.2347975319426905,0.2347975319426905,0.2347975319426905,0.2347975319426905,0.2347975319426905,0.2347975319426905
3,0.019112919679009518,0.34001855154664323,7.674890718261443,2.900698213066662,0.31337442172893176,0.31337442172893176,0.31337442172893176,0.31337442172893176,True,7,0.0,0.0,vector,running,0.31337442172893176,0.31337442172893176,0.31337442172893176,0.31337442172893176,0.31337442172893176,0.31337442172893176,0.31337442172893176
4,0.029130638451071666,0.3361377261684734,7.336201685590306,3.540591968213341,0.3976596421042624,0.3976596421042624,0.3888634060464654,0.40238072243977163,True,7,0.0,0.0,vector,running,0.39776702845066914,0.39193669178417795,0.40238072243977163,0.39991681768437626,0.40210527414701247,0.4008595535586533,0.3888634060464654
5,0.04357577191086116,0.3493314901515044,7.606971680347301,4.609672366510896,0.46510544422249783,0.46510544422249783,0.44482523932044776,0.4848819991596789,True,7,0.0,0.0,vector,running,0.4659932691399624,0.4516807116100125,0.4848819991596789,0.4724019920795046,0.4691905563799945,0.4679099793782841,0.44482523932044776
6,0.054023065576316885,0.343794939697482,7.549326566825347,5.320124572260026,0.5229063845399164,0.5229063845399164,0.48329306191284516,0.5521311049841198,True,7,0.0,0.0,vector,running,0.5354243961867581,0.5024608899062913,0.5521311049841198,0.5314897629694105,0.5301853169873798,0.5284352955417988,0.48329306191284516
7,0.06817661824681892,0.3568483501271049,7.748494022950397,5.954764777099121,0.5600924529731367,0.5600924529731367,0.5205386654455559,0.5944165349677832,True,7,0.0,0.0,vector,running,0.5792742103192062,0.5398819898585433,0.5944165349677832,0.5574998898178637,0.5734892894114195,0.5588831785522821,0.5205386654455559
8,0.0746874280209642,0.3672279537706325,8.028928576752845,6.640044561240905,0.5877908571862984,0.5877908571862984,0.5781599481096911,0.6144741904289326,True,7,0.0,0.0,vector,running,0.5864063122490167,0.5794263712249982,0.6144741904289326,0.5785652706340539,0.5959909695222829,0.5781599481096911,0.5823970990573087
9,0.08264636676498271,0.34708095324333293,7.9290783586418545,6.863669457871257,0.6309102779539834,0.6309102779539834,0.6004396846860405,0.6595110252758191,True,7,0.0,0.0,vector,running,0.6046890975592338,0.6147600402872635,0.6595110252758191,0.6409959273556776,0.6589189333121434,0.6399657661591628,0.6004396846860405
10,0.08414639974573354,0.3332858732889523,7.300617765151881,6.831384738593641,0.6567108917197315,0.6567108917197315,0.5914975971725269,0.7191343886519013,True,7,0.0,0.0,vector,running,0.661830071749294,0.6100756440771369,0.7191343886519013,0.6644476892764387,0.6891192610666123,0.6698400725122338,0.5914975971725269
11,0.09189882618375887,0.3730252919191363,8.01712701893827,7.54051411632715,0.6634203856562345,0.6634203856562345,0.638141587038423,0.7081763789691666,True,7,0.0,0.0,vector,running,0.6767654073676005,0.6596195083444213,0.7081763789691666,0.6458530324462919,0.6676752960929757,0.6501784159955516,0.638141587038423
12,0.09555959402589445,0.3573519956964622,8.200029389353126,7.850838029220425,0.6771743085431239,0.6771743085431239,0.630735371383896,0.7339051637178937,True,7,0.0,0.0,vector,running,0.7107945082280476,0.6915823234393087,0.7339051637178937,0.6379047478251906,0.6610268470935962,0.630735371383896,0.6805394404126004
13,0.09879656025828337,0.35856162558553545,7.926119665362583,7.500211242514813,0.6890045889143499,0.6890045889143499,0.649409238763189,0.7569552350374137,True,7,0.0,0.0,vector,running,0.7167059684850222,0.7020858913261112,0.7569552350374137,0.6713113517015835,0.649409238763189,0.6532515950581327,0.6795640631775058
14,0.09584564135421535,0.3617536569152158,7.908868905812101,7.606545514312072,0.6965896517284161,0.6965896517284161,0.677622763632406,0.7285248415638748,True,7,0.0,0.0,vector,running,0.6915521669454515,0.677622763632406,0.7285248415638748,0.6873001763687484,0.6845753041444427,0.6914420372381004,0.716569580283571
15,0.10076836240596124,0.3477797188115463,7.879046371841111,7.875157682089661,0.7064864676045991,0.7064864676045991,0.6796118202838434,0.7506816178014425,True,7,0.0,0.0,vector,running,0.7039205488680647,0.6958267029670009,0.7051372772982882,0.6927804796895223,0.7196414614315214,0.6796118202838434,0.7506816178014425
16,0.1012398183652267,0.3458297505682493,7.71320310319549,7.7590130494961045,0.7228828808242336,0.7228828808242336,0.6940334964859296,0.7392860643353052,True,7,0.0,0.0,vector,running,0.7392860643353052,0.7309409267236229,0.6940334964859296,0.7269322197652476,0.7309465951920402,0.7132990073422045,0.7256866998390457
17,0.10211768047728897,0.3572474430020036,7.770581835714787,7.995204903848025,0.7257511056128266,0.7257511056128266,0.7019474397568962,0.7566939073694126,True,7,0.0,0.0,vector,running,0.7119534956399813,0.732560506102086,0.7280471908407778,0.7128543722113337,0.7019474397568962,0.737621615866156,0.7566939073694126
18,0.10351917474676288,0.3595058412022617,7.902123535319538,8.134022882788608,0.743393637409066,0.743393637409066,0.706086263251508,0.7857691526566558,True,7,0.0,0.0,vector,running,0.7397071287485858,0.706086263251508,0.754765302222262,0.7419431486040645,0.7259348992756111,0.7520368209212028,0.7857691526566558
19,0.10792514608788234,0.3502389838395898,7.755812251194662,8.228807353190104,0.7509820215580288,0.7509820215580288,0.722457467265796,0.7711743788154775,True,7,0.0,0.0,vector,running,0.7701233712374059,0.7230846968347681,0.7648967011386494,0.7711743788154775,0.7539210452973673,0.722457467265796,0.7529459063104643
20,0.1060753192424328,0.35589047938026325,7.894436864265486,8.352301624688593,0.7521496420586194,0.7521496420586194,0.7309253785464929,0.770620738019185,True,7,0.0,0.0,vector,running,0.7561508903699398,0.7527804213179838,0.7477484489670707,0.7615038593889834,0.7459532768587293,0.7309253785464929,0.770620738019185
21,0.11002548285216898,0.35066517220133553,7.746654457345636,8.314794788520594,0.7710077602323854,0.7710077602323854,0.7575993405952133,0.79663509295039,True,7,0.0,0.0,vector,running,0.7684650333688962,0.7767318726228201,0.7653294295707264,0.7654781992520273,0.7674246507515622,0.7575993405952133,0.79663509295039
22,0.10768463776457031,0.33920568776462556,7.401676025911875,8.10853131464078,0.7797807068531343,0.7797807068531343,0.7367482981108752,0.8030150566804279,True,7,0.0,0.0,vector,running,0.79566152355909,0.7685900561760873,0.7925570999214401,0.7367482981108752,0.7807453649915806,0.7830716058533587,0.8030150566804279
23,0.11125541851687153,0.3620161803134176,7.798387136803382,8.541251836498265,0.7637936517895474,0.7637936517895474,0.7326038830966248,0.7954699191196806,True,7,0.0,0.0,vector,running,0.7663691748819139,0.7954699191196806,0.7800452130930832,0.7326038830966248,0.7498388037107824,0.7527727254315649,0.7711693191875426
24,0.1133272413866243,0.3677445126555112,8.193336274632157,8.781118944138912,0.77523935039681,0.77523935039681,0.7567918711321849,0.8212318611226923,True,7,0.0,0.0,vector,running,0.7567918711321849,0.8212318611226923,0.8058020870271194,0.7578267906404454,0.7570206330990997,0.757198134075233,0.7735578897969884
25,0.114958252810418,0.3452421536365802,7.609649131312304,8.414587029947379,0.7882283239141895,0.7882283239141895,0.7309932899225297,0.8283839554470758,True,7,0.0,0.0,vector,running,0.7309932899225297,0.8283839554470758,0.8225751365507344,0.7819977048229684,0.7798712488697939,0.7808577345192952,0.7969724417024193
