iter,objective,deploy_rel_error,primal_norm,dual_norm,rho,rho_next,rho_min,rho_max,rho_changed,rho_changed_blocks,gradient,loss,decision,status,rho_attn_q_proj,rho_attn_k_proj,rho_attn_v_proj,rho_attn_o_proj,rho_mlp_gate_proj,rho_mlp_up_proj,rho_mlp_down_proj
1,0.26191399307218466,0.25349325434927444,1.7914136019406666,1.5640706361081338,10.343694725479626,10.343694725479626,9.233303067670061,12.07092330649362,True,7,0.0,0.0,vector,running,9.868686848432368,9.381704005989375,10.595478173088708,11.483843000993968,10.089819073753008,12.07092330649362,9.233303067670061
2,0.46805879302265024,0.2625715349414701,1.4930807048035057,17.510913135949384,9.468086059077407,9.468086059077407,8.216952872059636,12.178148815804839,True,7,0.0,0.0,vector,running,8.58542056302561,8.579509623718051,10.247959354189486,10.822127183123968,8.343902806722971,12.178148815804839,8.216952872059636
3,0.577125837613824,0.2855145365492266,2.666732040242952,29.536086639842427,8.952115802845162,8.952115802845162,7.7367055461068945,11.120287862087709,True,7,0.0,0.0,vector,running,7.871426363851691,7.9278596491678375,10.399566415580933,11.120287862087709,7.92373333522645,10.414855971902336,7.7367055461068945
4,0.6168816463258863,0.27914625766335877,2.9018722397027195,31.889350777438047,8.014768545901855,8.014768545901855,6.672421468954296,10.845267203541663,True,7,0.0,0.0,vector,running,7.144593592424799,7.021901684162895,8.542147131214906,10.845267203541663,6.672421468954296,9.651071723411997,7.098037726653867
5,0.6148836046749707,0.2991551959593732,3.478983634988153,31.369117815394286,7.371564341208147,7.371564341208147,6.283879411589523,10.177961715229383,True,7,0.0,0.0,vector,running,6.432287134438487,6.377007727501487,7.841710495878675,10.177961715229383,6.283879411589523,8.720617503154894,6.593083248269278
6,0.6131074004012077,0.28664815150832684,3.502452995028517,31.398754208036845,6.411541050801172,6.411541050801172,5.2820375743570915,8.736254434893581,True,7,0.0,0.0,vector,running,5.843325771478893,5.620193657924477,6.540048323625067,8.736254434893581,5.2820375743570915,7.999513875570667,5.61764508043301
7,0.5750160283803636,0.30335378903277915,4.0989972232968155,29.79122511746653,5.872316793053676,5.872316793053676,4.901858477367257,7.7455198536224135,True,7,0.0,0.0,vector,running,5.385089914000237,5.121354832680562,6.1606850866936345,7.7455198536224135,4.901858477367257,7.020502831553151,5.317162584294649
8,0.5681262346479709,0.2963744299247786,4.202783602772941,29.442404939217244,5.205770569390823,5.205770569390823,4.364563405337182,7.045624269458228,True,7,0.0,0.0,vector,running,4.85928277749305,4.580576564374369,5.228223732572568,7.045624269458228,4.364563405337182,6.412686019286638,4.51490295938669
9,0.5302579221524627,0.3127833932548285,4.789600520888139,28.88197253537887,4.815142618750741,4.815142618750741,4.06271544241744,6.201009606916792,True,7,0.0,0.0,vector,running,4.552220197919756,4.2509703909800205,4.859510261279388,6.201009606916792,4.06271544241744,5.825374569821363,4.348681240834481
10,0.520575435978508,0.3018551910824853,4.934403069466977,28.459972291432848,4.3129521018441235,4.3129521018441235,3.655341427741916,5.552222828437654,True,7,0.0,0.0,vector,running,4.17801962937911,3.8031091173929727,4.355422044111072,5.552222828437654,3.655341427741916,5.250883432417354,3.76405295736374
11,0.4862370530821512,0.31556846856306664,5.395388560228683,27.419040067251775,3.9883275177589157,3.9883275177589157,3.4109837106902683,4.932876794045474,True,7,0.0,0.0,vector,running,3.8660672205644797,3.541180007114238,4.004490935677688,4.857057024145792,3.4109837106902683,4.932876794045474,3.582761255318865
12,0.46888841266873516,0.31015873204931016,5.405146745629562,26.26581620766605,3.6646023603369393,3.6646023603369393,3.153542704175474,4.573430864012175,True,7,0.0,0.0,vector,running,3.581672239047121,3.2703339374976808,3.8260449637243314,4.573430864012175,3.1948990309261123,4.297956493919266,3.153542704175474
13,0.4367808984586063,0.321990217313649,5.858837436185869,25.684465226939448,3.3956864646752525,3.3956864646752525,2.997753466098931,4.078048349976271,True,7,0.0,0.0,vector,running,3.379570559299834,3.0796884914064915,3.412744612612264,3.9812212154984477,3.0113164228198492,4.078048349976271,2.997753466098931
14,0.4281756653771095,0.3111718413972179,5.760804879108532,24.592664201309876,3.120146829798551,3.120146829798551,2.6776635986394606,3.74884030532425,True,7,0.0,0.0,vector,running,3.133044389915696,2.878202799397977,3.1773267475246354,3.74884030532425,2.7764295153343146,3.6052534127454154,2.6776635986394606
15,0.39261902201604243,0.32642932965064003,6.0321489599670635,22.816215782947573,2.948637689100979,2.948637689100979,2.589746455019498,3.4115605384946424,True,7,0.0,0.0,vector,running,3.0732271912595865,2.7321618200136637,2.8914240435408702,3.4010107914213132,2.6565541548604186,3.4115605384946424,2.589746455019498
16,0.3860724714602274,0.31821183885637744,5.917088283354759,22.20603072984829,2.736905938775762,2.736905938775762,2.3404923010190437,3.2309237324323044,True,7,0.0,0.0,vector,running,2.769295561699359,2.5886008336290174,2.774817808592073,3.2309237324323044,2.4184805491633767,3.1620862526572573,2.3404923010190437
17,0.3583706809657504,0.33494109796602545,6.343443553588263,21.37859961219334,2.6067963825288856,2.6067963825288856,2.2325904708987108,3.005701468464314,True,7,0.0,0.0,vector,running,2.6831507813486013,2.4459352937644083,2.7235441682298127,2.893965402554693,2.3565521616730827,3.005701468464314,2.2325904708987108
18,0.35492116763367104,0.3193446641711405,6.184212945189898,20.98698415711894,2.425240126224365,2.425240126224365,2.1343805291377187,2.7559125731516425,True,7,0.0,0.0,vector,running,2.442634089282006,2.351667150657521,2.468584367162934,2.7559125731516425,2.1506927412047183,2.7509666097317624,2.1343805291377187
19,0.3265904895130982,0.3425703114067719,6.6245169659883985,19.906888516385962,2.330198343271744,2.330198343271744,2.064755321971795,2.671617103568404,True,7,0.0,0.0,vector,running,2.3696418597842506,2.2395804844262637,2.390362592919998,2.527449903240443,2.109170493971661,2.671617103568404,2.064755321971795
20,0.3263144426832392,0.32349505741345763,6.357395784325385,19.611833490396066,2.181490934126295,2.181490934126295,1.899421363439295,2.437512261621871,True,7,0.0,0.0,vector,running,2.200732566916306,2.1982819306856154,2.223094811169463,2.432782642075568,1.9408581968399692,2.437512261621871,1.899421363439295
21,0.2995932884373768,0.34386822700961356,6.73348501444853,18.54812081471256,2.0987539550307925,2.0987539550307925,1.8569919731973112,2.3837288408892756,True,7,0.0,0.0,vector,running,2.1442834251345575,2.0288604126036143,2.1705976977426316,2.2638103037587944,1.8954402041765084,2.3837288408892756,1.8569919731973112
22,0.2981523906733674,0.32297594862121,6.464327115043891,18.121264000070717,1.963257447812789,1.963257447812789,1.7214412025052845,2.192142476412848,True,7,0.0,0.0,vector,running,1.9826576282940922,1.9659563730911516,2.0020672963586037,2.172452848385025,1.7572322806243088,2.192142476412848,1.7214412025052845
23,0.2758640025420239,0.3492211274708301,6.922167097236345,17.289792109045266,1.9141470721347797,1.9141470721347797,1.6887658858102144,2.1379694381674037,True,7,0.0,0.0,vector,running,1.9765515788371575,1.828586242783547,1.9502249644345444,2.10677866116491,1.756017993055215,2.1379694381674037,1.6887658858102144
24,0.2766019277350735,0.3326563132055797,6.70163608789461,17.295417627644607,1.817886562947718,1.817886562947718,1.5760323237269278,2.043874276995251,True,7,0.0,0.0,vector,running,1.8375420748737175,1.8268030125439958,1.8677309696209086,2.043874276995251,1.6369965822879582,1.9845271940397828,1.5760323237269278
25,0.25637414572982664,0.35058099621333405,6.995361080061766,16.38825250850948,1.7735745486933174,1.7735745486933174,1.571194606106983,1.9600508422527525,True,7,0.0,0.0,vector,running,1.8361751119484706,1.708275786404639,1.828489320467466,1.9600508422527525,1.6134489973055426,1.936997533639548,1.571194606106983
26,0.2561297232065344,0.32792066405719894,6.748007209463013,16.174169691676138,1.6736847529613281,1.6736847529613281,1.473972922713866,1.859222111707563,True,7,0.0,0.0,vector,running,1.715946354232145,1.6773816350332509,1.7078683347314725,1.859222111707563,1.5122942849722238,1.8057954303834296,1.473972922713866
27,0.23892972476977076,0.3460840052131339,7.1465490560845115,15.468940369330138,1.636667226718897,1.636667226718897,1.4589373054945198,1.7962531155862367,True,7,0.0,0.0,vector,running,1.6632419612450908,1.5863287639425891,1.701167667940722,1.7962531155862367,1.5085124145715898,1.7728577791904665,1.4589373054945198
28,0.23971095410393703,0.33276230240613736,6.83648050265135,15.256294984781178,1.5651663784106673,1.5651663784106673,1.3752453543670597,1.742945191836737,True,7,0.0,0.0,vector,running,1.6273788174385264,1.564862441946133,1.5972272991099201,1.742945191836737,1.420120280093203,1.6618926775692653,1.3752453543670597
29,0.22193490097592275,0.3509511614894185,7.15774506630164,14.563468887456558,1.536626809482012,1.536626809482012,1.3380076798530534,1.6824406232947704,True,6,0.0,0.0,vector,running,1.6273788174385264,1.4781584128702374,1.5952078830246395,1.6824406232947704,1.42213655472154,1.646691580521745,1.3380076798530534
30,0.22468245963951897,0.33210097025596436,6.946836255691735,14.600985315644266,1.4930669019594545,1.4930669019594545,1.2835154114563077,1.6422866165366086,True,7,0.0,0.0,vector,running,1.5816176214708124,1.4883050334698098,1.5039801398469443,1.6422866165366086,1.42940201185693,1.5506539867480003,1.2835154114563077
31,0.21507023064078443,0.3428742605074457,7.115687801524177,14.069345466346478,1.4844977000352875,1.4844977000352875,1.2956009972560487,1.5961885216208846,True,7,0.0,0.0,vector,running,1.56008561788669,1.4989477863711809,1.4866393182648259,1.5961885216208846,1.429992753242637,1.5453500011753127,1.2956009972560487
32,0.21469500905191052,0.342995563389373,6.994568955743456,14.15965758615526,1.455006418515487,1.455006418515487,1.3066616570308696,1.5991568442695125,True,7,0.0,0.0,vector,running,1.4823137043740546,1.5087209211647676,1.4943205968249103,1.5991568442695125,1.3532109869954374,1.4609717601642098,1.3066616570308696
33,0.2056456508193663,0.34652560416481726,7.225572974753484,13.723782629013916,1.4550934153851471,1.4550934153851471,1.3170005961364923,1.6029168968376077,True,7,0.0,0.0,vector,running,1.4801516164634985,1.5179029393072347,1.5012587059146525,1.6029168968376077,1.3296934142271406,1.4587534197284175,1.3170005961364923
34,0.20909648326913693,0.3347182078894231,6.876445472942411,13.490747193013767,1.3804242580956687,1.3804242580956687,1.2522949476261456,1.5158069781352579,True,7,0.0,0.0,vector,running,1.4039132335795992,1.4407621345975798,1.4230716587443544,1.5158069781352579,1.2633413034798997,1.3837496645617653,1.2522949476261456
35,0.1979929886176213,0.35562594931038116,7.477104293706577,13.308464156758408,1.3761113352403598,1.3761113352403598,1.2176625246611257,1.4951757078637422,True,7,0.0,0.0,vector,running,1.413870019927562,1.4415952417984652,1.432222538075692,1.4951757078637422,1.2710978924318734,1.3832908514464233,1.2176625246611257
36,0.20362684468727668,0.33814177933479983,7.094155516379427,13.34358537174284,1.362748594235557,1.362748594235557,1.225498331118994,1.4519065213424167,True,7,0.0,0.0,vector,running,1.4225966499685703,1.4519065213424167,1.440380670815572,1.4195794516377611,1.2810135163265366,1.3163953391685448,1.225498331118994
37,0.18934758429427775,0.34414388263229445,7.053726156093845,12.644679243290668,1.3385644463877329,1.3385644463877329,1.2372177104054751,1.4394944390442255,True,7,0.0,0.0,vector,running,1.353999486036238,1.4394944390442255,1.3701636095623897,1.409703154767459,1.262913572257448,1.3089608233798053,1.2372177104054751
38,0.19291057897410616,0.34216878359769054,7.176082591937274,12.803592830016493,1.331393591517752,1.331393591517752,1.2482877894543085,1.4494637535411496,True,7,0.0,0.0,vector,running,1.3628557344559125,1.4494637535411496,1.3794600798537158,1.390452945848049,1.2549780285720933,1.2493143017902204,1.2482877894543085
39,0.18855536043185628,0.3477453496163691,7.205656246769478,12.630034178226675,1.323174934951685,1.323174934951685,1.1927438125779493,1.458886821091679,True,7,0.0,0.0,vector,running,1.3724396615782228,1.458886821091679,1.388585412372906,1.3450350959193382,1.2647313113604635,1.258793056389108,1.1927438125779493
40,0.18912971921016425,0.3393269305851999,7.009842530352511,12.46724418649525,1.3138081553321077,1.3138081553321077,1.1958616139864315,1.440443177076314,True,7,0.0,0.0,vector,running,1.3100234963137143,1.440443177076314,1.3973889990598236,1.3242446145005564,1.2739363660830412,1.2700893120992798,1.1958616139864315
41,0.18394874270947487,0.3425590210948935,7.080396868698601,12.4182437851297,1.2905305609204591,1.2905305609204591,1.2072149695113625,1.449943484233989,True,7,0.0,0.0,vector,running,1.3211450467731496,1.449943484233989,1.3336642481442134,1.307198083525282,1.2169511551570285,1.2151525649958643,1.2072149695113625
42,0.18817995487613323,0.3520664581267161,7.405062387703776,12.555600761222417,1.2730937583498783,1.2730937583498783,1.1566433338622704,1.3849815796330027,True,7,0.0,0.0,vector,running,1.331386554791282,1.3849815796330027,1.3438168420303958,1.2911732960544475,1.2032452584456137,1.2172963642127383,1.1566433338622704
43,0.18349875461684398,0.34406675696564276,7.190714653305421,12.338741651607338,1.2519999741433805,1.2519999741433805,1.152662986502031,1.3532086501018843,True,7,0.0,0.0,vector,running,1.274178323894955,1.3461010852838828,1.3532086501018843,1.2546983410388535,1.152662986502031,1.2288700010731197,1.1689877850519967
44,0.18179758627909276,0.3514613639028991,7.235120846297774,12.080588267011354,1.2347974228057799,1.2347974228057799,1.1510917299394436,1.3442722135141512,True,7,0.0,0.0,vector,running,1.2403496143752049,1.3442722135141512,1.2946378415741435,1.2660710883349182,1.1510917299394436,1.1784523953914952,1.1806204381474201
45,0.17677436913628136,0.347201290523827,7.372119562457655,12.041289115467332,1.2227439627877021,1.2227439627877021,1.1052130858104812,1.2889479531723262,True,7,0.0,0.0,vector,running,1.2453581477217004,1.2889479531723262,1.2888767176500364,1.2768399673730981,1.1052130858104812,1.1744445805338293,1.191770549540076
46,0.1771490711774476,0.35271679726873456,7.349007838018147,11.959268925949607,1.204432570051539,1.204432570051539,1.1073780485622948,1.2993318825992037,True,7,0.0,0.0,vector,running,1.2568611233181828,1.2851515051135898,1.2993318825992037,1.2247547658264293,1.1073780485622948,1.1288125669279288,1.1443235515282653
47,0.1724860105990065,0.34443028472827647,7.302417030407364,11.729808239743646,1.184777156116097,1.184777156116097,1.1100682610848407,1.3022738764767283,True,7,0.0,0.0,vector,running,1.2071550798961534,1.2349444049133573,1.3022738764767283,1.1907515813501321,1.1190722742040284,1.1100682610848407,1.1410768983429422
48,0.17110159008673903,0.3361975998421192,7.190482934098135,11.408372720109197,1.1601953394808562,1.1601953394808562,1.0695655774978163,1.311998502398256,True,7,0.0,0.0,vector,running,1.1612028858432033,1.2240139860585741,1.311998502398256,1.1829881318709856,1.09221722461065,1.0695655774978163,1.0979768002246173
49,0.16695526583543502,0.3554839063249117,7.502163300731316,11.383946849012222,1.172511785149467,1.172511785149467,1.0831506803299502,1.3214243900830387,True,7,0.0,0.0,vector,running,1.1742517530263288,1.237122319523366,1.3214243900830387,1.194908490129182,1.1040068256631508,1.0831506803299502,1.110731416630267
50,0.16898096104570556,0.34128811901953243,7.156040999132801,11.418835237427068,1.1762123910831208,1.1762123910831208,1.0961192135104423,1.2685297686813288,True,7,0.0,0.0,vector,running,1.186674712052095,1.249550380037564,1.2685297686813288,1.2063627928934653,1.1152514407867606,1.0961192135104423,1.1228082952063008
51,0.16446110867371833,0.3456370252261259,7.163639278302043,11.284662733219795,1.1507908674802758,1.1507908674802758,1.0741943623228032,1.2715523897246945,True,7,0.0,0.0,vector,running,1.1433834587765743,1.22835313954179,1.2715523897246945,1.1613452811054112,1.0741943623228032,1.1086553907436985,1.0821429690644644
52,0.16705043869332672,0.3512423416480045,7.384895617998678,11.387674440344949,1.145643004094206,1.145643004094206,1.066566417198871,1.2815000324272297,True,7,0.0,0.0,vector,running,1.1562218680789422,1.2129276486660179,1.2815000324272297,1.153843095307073,1.066566417198871,1.0714844910631913,1.0930245221684163
53,0.16573353076625996,0.3480386994371094,7.4055494025741755,11.353149974190753,1.1454497260659158,1.1454497260659158,1.0292917731630868,1.2910360011799302,True,7,0.0,0.0,vector,running,1.1684669768853466,1.2254404740652136,1.2910360011799302,1.1485694777639295,1.0292917731630868,1.071283737034971,1.1050576315416212
