iter,objective,deploy_rel_error,primal_norm,dual_norm,rho,rho_next,rho_min,rho_max,rho_changed,rho_changed_blocks,gradient,loss,decision,status,rho_attn_q_proj,rho_attn_k_proj,rho_attn_v_proj,rho_attn_o_proj,rho_mlp_gate_proj,rho_mlp_up_proj,rho_mlp_down_proj
1,0.0017184390030493266,0.25357531808605566,5.413681913469669,0.050929961047960375,0.15527072185113364,0.15527072185113364,0.15527072185113364,0.15527072185113364,True,7,0.0,0.0,vector,running,0.15527072185113364,0.15527072185113364,0.15527072185113364,0.15527072185113364,0.15527072185113364,0.15527072185113364,0.15527072185113364
2,0.007834357625751302,0.3459650644328004,7.210356059876484,1.6041126538506885,0.2119387186068942,0.2119387186068942,0.21193871860689417,0.21193871860689417,True,7,0.0,0.0,vector,running,0.21193871860689417,0.21193871860689417,0.21193871860689417,0.21193871860689417,0.21193871860689417,0.21193871860689417,0.21193871860689417
3,0.018796023944144133,0.3468466562274306,7.797311266515707,2.641923500903796,0.27323474244573087,0.27323474244573087,0.2732347424457308,0.2732347424457308,True,7,0.0,0.0,vector,running,0.2732347424457308,0.2732347424457308,0.2732347424457308,0.2732347424457308,0.2732347424457308,0.2732347424457308,0.2732347424457308
4,0.027573749746413866,0.33609129775875446,7.539777350342173,3.1436596611453798,0.34047145454966127,0.34047145454966127,0.34047145454966127,0.34047145454966127,True,7,0.0,0.0,vector,running,0.34047145454966127,0.34047145454966127,0.34047145454966127,0.34047145454966127,0.34047145454966127,0.34047145454966127,0.34047145454966127
5,0.03971519075621069,0.36098077874239487,7.728609848952911,3.978069073176026,0.4085143340410949,0.4085143340410949,0.4017546174105246,0.41432909054823613,True,7,0.0,0.0,vector,running,0.40728402432417843,0.41432909054823613,0.40510010490204884,0.40689349263613145,0.41110748624912324,0.41328432541080234,0.4017546174105246
6,0.048405988115083336,0.32083331312051044,7.053113519123726,4.4504435105021924,0.4814325876952418,0.4814325876952418,0.4629273521747843,0.4958581066850653,True,7,0.0,0.0,vector,running,0.48742675759801524,0.4958581066850653,0.4739622757368601,0.47840336386554244,0.48698665712556477,0.48519207450565693,0.4629273521747843
7,0.06119191734443621,0.3571508942860641,7.385197494901115,5.087281409916459,0.53052544880066,0.53052544880066,0.5112935479515004,0.5482600720958039,True,7,0.0,0.0,vector,running,0.5372429458093954,0.5482600720958039,0.5167241882473782,0.5241288772287863,0.5396464426764456,0.5374148943974199,0.5112935479515004
8,0.07171856970266122,0.36651498715915104,7.733222914667065,6.031376451566933,0.5815210307680705,0.5815210307680705,0.5627930156143285,0.5958661334038551,True,7,0.0,0.0,vector,running,0.5798461257641366,0.5958661334038551,0.5695119789142833,0.5865770486175869,0.5886782465087418,0.5880874359879082,0.5627930156143285
9,0.08306148805124063,0.34718974159352173,7.4438293748820525,6.394819727004635,0.6375046628691228,0.6375046628691228,0.6099594605055594,0.6481970643825273,True,7,0.0,0.0,vector,running,0.6467942118176855,0.6462390881435406,0.6262486889842864,0.6431903880937437,0.6481970643825273,0.6428798371066288,0.6099594605055594
10,0.08593378275210702,0.3338199155344544,6.951892855160962,6.398759251582617,0.6876458248120959,0.6876458248120959,0.6563642471303603,0.710915786601597,True,7,0.0,0.0,vector,running,0.6925862281679653,0.710915786601597,0.6692553664512718,0.6907790317754067,0.6995192872217834,0.6956423997923428,0.6563642471303603
