iter,objective,deploy_rel_error,primal_norm,dual_norm,rho,rho_next,rho_min,rho_max,rho_changed,rho_changed_blocks,gradient,loss,decision,status,rho_attn_q_proj,rho_attn_k_proj,rho_attn_v_proj,rho_attn_o_proj,rho_mlp_gate_proj,rho_mlp_up_proj,rho_mlp_down_proj
1,0.2504804971656825,0.2538854683164338,1.6391620884921911,1.2572820566610243,11.933332331041045,11.933332331041045,11.34972805101877,12.735143422681757,True,7,0.0,0.0,vector,running,12.735143422681757,12.306117670556327,11.57809951199358,11.81609781068813,12.001120801932792,11.800179838892703,11.34972805101877
2,0.4421714850692232,0.28109962362152124,1.4741742535174212,22.26868996489022,12.283099758866152,12.283099758866152,11.60942353610806,13.34241021311542,True,7,0.0,0.0,vector,running,13.000845376856113,13.34241021311542,12.303372208868652,11.705017556507519,12.024257721276868,12.097198516165852,11.60942353610806
3,0.5436855327249603,0.31358176704086105,1.9630511614293291,32.20056181181318,11.94693753848189,11.94693753848189,10.840771287799528,13.56354860014987,True,7,0.0,0.0,vector,running,12.309847254392803,13.56354860014987,12.422369746163543,12.202802703476383,11.23016409764621,11.273527645152654,10.840771287799528
4,0.5804037539936404,0.2995276320007725,1.9426255065272384,31.45894753906172,11.580527157018391,11.580527157018391,10.514598100765856,13.321227546853772,True,7,0.0,0.0,vector,running,11.370867287116276,13.321227546853772,12.198181867588945,12.206309094762675,10.825113058482804,10.880676104057201,10.514598100765856
5,0.5833374443581465,0.29474050144709524,1.9001517925543145,28.566469817317568,11.020215156842896,11.020215156842896,9.83808451661989,12.795329435456024,True,7,0.0,0.0,vector,running,11.141182525129818,12.795329435456024,11.742252579451819,11.954314799700104,9.83808451661989,10.050953278663266,9.975940383396772
6,0.5811801854025944,0.31419704560425693,2.164209473745291,29.67064137649221,10.606551101339209,10.606551101339209,9.389264585497315,12.161548277351933,True,7,0.0,0.0,vector,running,10.865909720626252,12.161548277351933,11.253137759115978,11.570524489780407,9.607946995110394,9.729163526230021,9.389264585497315
7,0.5894559828182022,0.3058215541791867,2.177825264756113,30.342078777047476,9.872265376679978,9.872265376679978,8.694268220790699,11.497158387602523,True,7,0.0,0.0,vector,running,9.780859224754888,11.497158387602523,10.656936194871369,11.11813065863328,8.694268220790699,8.821808993811972,8.94325062890434
8,0.5785966267405918,0.3031071978028622,2.3016901160609016,28.075949016513597,9.224976303086404,9.224976303086404,8.177685889834962,10.812431469861973,True,7,0.0,0.0,vector,running,9.165962034389485,10.812431469861973,10.110576985140145,9.97101838956816,8.177685889834962,8.429247931086627,8.255068512330636
9,0.568389830698093,0.3223466519628165,2.533890684151947,28.216833962169062,8.772264609534808,8.772264609534808,7.825040875527342,10.198066426130607,True,7,0.0,0.0,vector,running,8.843244870375885,10.198066426130607,9.537452916315925,9.566321410177812,7.825040875527342,7.854333732697276,7.904587948054621
10,0.5640560447121614,0.2971149934266953,2.4987588122658346,27.440084130255336,8.138199660544908,8.138199660544908,7.138035271977563,9.621068853214224,True,7,0.0,0.0,vector,running,8.02254516797795,9.621068853214224,9.071733575323057,8.678516396355754,7.138035271977563,7.40820651004272,7.357585961179442
11,0.5515584384092852,0.30576511854527244,2.6190844229767647,25.4754050147844,7.710522466542087,7.710522466542087,6.849983343972353,9.10142939564737,True,7,0.0,0.0,vector,running,7.571400140495,9.10142939564737,8.597520594436176,8.236305738465727,6.849983343972353,6.888363353019548,7.037033165108286
12,0.5395254171428628,0.3129933778612845,2.7511930203480146,25.583021080254362,7.332984559452242,7.332984559452242,6.300586051001107,8.640485768131347,True,7,0.0,0.0,vector,running,7.15199002385776,8.640485768131347,8.182872929975634,7.934303420985401,6.300586051001107,6.7148425279146124,6.716900934318397
13,0.5394876859706322,0.3225049612288865,3.000903346532457,26.53003574617,6.948549723108419,6.948549723108419,6.047238327866823,8.263686202608367,True,7,0.0,0.0,vector,running,6.920550828229279,8.263686202608367,7.751454558866302,7.284667043945016,6.047238327866823,6.209568092406679,6.449607958584245
